Time (s), Cell Name, Value
10.895898, C000, 5.757845
10.99586, C000, 4.150023
11.095823, C000, 10.76623
11.195785, C000, 5.657991
53.579828, C000, 4.760116
53.679791, C000, 10.26948
53.779753, C000, 6.811945
53.879715, C000, 9.283529
53.979678, C000, 6.707399
64.275801, C000, 3.128721
64.375764, C000, 7.763516
64.47572599999999, C000, 6.636571
64.575688, C000, 8.914757
64.675651, C000, 4.157869
96.96349499999999, C000, 2.943182
102.961237, C000, 6.712474
103.061199, C000, 3.504752
115.056683, C000, 3.5784
115.156646, C000, 4.820152
115.256608, C000, 6.939782
115.35657, C000, 10.46712
115.456533, C000, 4.674314
123.35356, C000, 4.624464
123.453522, C000, 5.032136
123.553484, C000, 8.390626
123.653447, C000, 9.066957
124.753033, C000, 4.350207
124.852995, C000, 7.667118
124.952958, C000, 12.68069
125.05292, C000, 5.101049
125.152882, C000, 6.649458
167.137076, C000, 6.750326
167.237038, C000, 6.122851
167.337001, C000, 5.758706
167.436963, C000, 6.903938
205.3227, C000, 3.332937
212.619953, C000, 5.009697
212.719915, C000, 7.800444
212.819877, C000, 5.065871
234.811598, C000, 2.80906
248.40648, C000, 6.382813
248.506442, C000, 8.206264
248.606404, C000, 4.247589
248.706367, C000, 3.760477
263.700722, C000, 4.984522
286.492141, C000, 4.66444
286.592103, C000, 6.124231
287.391802, C000, 3.263299
300.286948, C000, 6.260575
300.38691, C000, 4.492311
302.985931, C000, 9.209988
303.085894, C000, 5.609711
303.185856, C000, 7.531136
338.272647, C000, 6.961047
338.372609, C000, 4.585249
338.472571, C000, 4.682779
364.762674, C000, 5.934871
364.862636, C000, 8.179621
364.962598, C000, 7.611793
365.062561, C000, 8.0564
365.162523, C000, 5.72242
365.262485, C000, 6.421396
365.46241, C000, 4.131983
365.562373, C000, 7.285051
366.961846, C000, 10.31126
367.061808, C000, 9.860615
367.16177, C000, 2.964434
367.361695, C000, 7.348087
367.461658, C000, 3.331087
411.345136, C000, 4.931024
411.445099, C000, 3.010956
462.725792, C000, 3.177983
462.825755, C000, 6.655025
480.818981, C000, 3.513352
480.918943, C000, 2.862724
528.501029, C000, 6.625219
528.600992, C000, 3.00053
553.391658, C000, 8.023385
553.491621, C000, 6.570578
553.591583, C000, 8.788495
578.482212, C000, 3.981739
628.66332, C000, 4.407413
646.456621, C000, 5.488977
646.556583, C000, 6.551483
646.656546, C000, 2.538043
656.252933, C000, 5.761443
656.352895, C000, 7.158879
656.452858, C000, 6.278535
692.239385, C000, 4.262525
692.339347, C000, 6.094326
697.337465, C000, 7.582884
697.437428, C000, 8.301961
742.620417, C000, 2.813751
742.72038, C000, 8.123358
742.820342, C000, 5.17266
759.414095, C000, 2.853521
759.514057, C000, 8.741108
759.614019, C000, 8.154815
759.713982, C000, 3.916735
777.507283, C000, 5.624816
780.306229, C000, 5.209868
780.406192, C000, 4.301039
781.305853, C000, 4.612482
781.405815, C000, 10.93767
781.505778, C000, 7.467846
781.60574, C000, 5.498659
781.705702, C000, 8.636089
781.805665, C000, 3.176195
782.505401, C000, 9.89601
782.605364, C000, 8.663252
782.705326, C000, 4.955496
829.7876, C000, 4.722737
829.887563, C000, 4.32479
829.987525, C000, 5.196642
830.087487, C000, 6.284715
844.382106, C000, 3.786451
851.479434, C000, 8.548019
