 , C00, C02, C04, C07, C14, C16, C17, C21, C26, C29
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2520.286390041044, 1.60491, 0.4087203, 26.3904, 0.0008160867, 4.135352e-27, 0.2875122, 0.001748808, 0.02381423, 0.811694, 0.4172215
2520.386352635006, 1.483074, 0.3756942, 24.82114, 0.0007597345, 3.859562e-27, 0.2731242, 0.001637617, 0.02260671, 0.7694922, 0.3971699
2520.486315228968, 1.370488, 0.3453367, 25.22595, 0.0007072734, 3.602166e-27, 0.2594563, 0.001533497, 0.02146043, 0.7294846, 0.3780819
2520.586277822929, 1.266448, 0.3174323, 23.93495, 0.0006584349, 3.361935e-27, 0.2464723, 0.001435996, 0.02037226, 0.691557, 0.3599114
2520.686240416891, 1.170306, 0.2917826, 22.76948, 0.0006129688, 3.137725e-27, 0.2341381, 0.001344695, 0.01933927, 0.6556014, 0.3426141
2520.786203010852, 1.081463, 0.2682055, 24.28508, 0.0005706422, 2.928469e-27, 0.2224212, 0.001259198, 0.01835866, 0.6215153, 0.3261481
2520.886165604813, 0.9993646, 0.2465335, 23.55704, 0.0005312384, 2.733167e-27, 0.2112905, 0.001179138, 0.01742777, 0.5892013, 0.3104734
2520.986128198775, 0.9234985, 0.2266127, 22.88175, 0.0004945554, 2.550891e-27, 0.2007169, 0.001104167, 0.01654408, 0.5585675, 0.2955521
2521.086090792737, 0.8533916, 0.2083015, 21.52112, 0.0004604055, 2.38077e-27, 0.1906725, 0.001033964, 0.01570521, 0.5295263, 0.2813479
2521.186053386698, 0.7886069, 0.19147, 20.24141, 0.0004286136, 2.221995e-27, 0.1811306, 0.0009682238, 0.01490886, 0.501995, 0.2678264
2521.28601598066, 0.7287403, 0.1759985, 21.1401, 0.0003990171, 2.073809e-27, 0.1720663, 0.0009066636, 0.0141529, 0.5399997, 0.2549547
2521.385978574621, 0.6734185, 0.1617772, 20.82822, 0.0003714642, 1.935505e-27, 0.1634556, 0.0008490174, 0.01343527, 0.5119239, 0.2427016
2521.485941168583, 0.6222963, 0.148705, 19.5897, 0.000345814, 1.806425e-27, 0.1552758, 0.0007950364, 0.01275402, 0.4853078, 0.2310374
2521.585903762544, 0.5750551, 0.1366891, 18.42483, 0.0003219349, 1.685954e-27, 0.1475053, 0.0007444875, 0.01210732, 0.4600756, 0.2199337
2521.685866356506, 0.5314001, 0.1256441, 17.32923, 0.0002997047, 1.573516e-27, 0.1401237, 0.0006971526, 0.01149341, 0.4361552, 0.2093637
2521.785828950467, 0.4910592, 0.1154916, 17.73949, 0.0002790095, 1.468578e-27, 0.1331115, 0.0006528272, 0.01091063, 0.4765583, 0.1993017
2521.885791544429, 0.4814138, 0.1061594, 16.78366, 0.0002597434, 1.370637e-27, 0.1264502, 0.0006113201, 0.0103574, 0.451781, 0.1897233
2521.98575413839, 0.4448676, 0.09758136, 15.78564, 0.0002418077, 1.279228e-27, 0.1201223, 0.000572452, 0.00983222, 0.4282919, 0.1806052
2522.085716732352, 0.4110957, 0.08969643, 15.06241, 0.0002251104, 1.193916e-27, 0.114111, 0.0005360551, 0.009333671, 0.406024, 0.1719254
2522.185679326314, 0.3798877, 0.08244862, 14.70995, 0.0002095661, 1.114293e-27, 0.1084005, 0.0005019724, 0.008860401, 3.894407, 0.1636627
2522.285641920275, 0.3510487, 0.07578647, 13.83525, 0.0001950952, 1.03998e-27, 0.1029759, 0.0004700568, 0.008411128, 9.340239, 0.1557971
2522.385604514237, 0.3243991, 0.06966265, 14.69444, 0.0001816235, 9.706232e-28, 0.09782264, 0.0004401703, 0.007984636, 8.854619, 0.1483095
2522.485567108198, 0.2997725, 0.06403365, 13.82065, 0.0001690821, 9.058918e-28, 0.09292731, 0.000412184, 0.00757977, 12.05437, 0.1411817
2522.58552970216, 0.2770155, 0.05885949, 13.73471, 0.0001574067, 8.454773e-28, 0.08827695, 0.0003859771, 0.007195433, 12.65775, 0.1343966
2522.685492296121, 0.255986, 0.05410343, 14.43547, 0.0001465375, 7.890919e-28, 0.0838593, 0.0003614365, 0.006830583, 18.29344, 0.1279375
2522.785454890083, 0.236553, 0.04973167, 13.68464, 0.0001364188, 7.364668e-28, 0.07966273, 0.0003384561, 0.006484234, 21.45323, 0.1217888
2522.885417484044, 0.2185952, 0.04571317, 13.55663, 0.0001269988, 6.873514e-28, 0.07567617, 0.0003169369, 0.006155447, 21.92078, 0.1159357
2522.985380078006, 0.2020007, 0.04201937, 13.47804, 0.0001182293, 6.415115e-28, 0.07188911, 0.0002967859, 0.005843331, 20.78107, 0.1103638
2523.085342671967, 0.1866659, 0.03862406, 13.11759, 0.0001100654, 5.987287e-28, 0.06829157, 0.0002779161, 0.005547041, 19.70062, 0.1050597
2523.185305265929, 0.1724953, 0.03550309, 12.33757, 0.0001024652, 5.587991e-28, 0.06487405, 0.000260246, 0.005265774, 18.70574, 0.1000106
2523.285267859891, 0.1594004, 0.03263431, 11.60394, 9.538976e-05, 5.215325e-28, 0.06162756, 0.0002436994, 0.00499877, 17.73318, 0.09520407
2523.385230453852, 0.1472996, 0.02999734, 10.91393, 8.880292e-05, 4.867512e-28, 0.05854354, 0.0002282049, 0.004745304, 17.96257, 0.09062857
2523.485193047813, 0.1361175, 0.02757344, 10.26495, 8.267092e-05, 4.542894e-28, 0.05561384, 0.0002136955, 0.00450469, 17.02865, 0.08627297
