 , C00, C01, C06, C13, C18, C24
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
6.997376312355468, 1.142173, 0.7900221, 1.956268, 8.099877, 6.690802, 33.28662
7.097338831103403, 1.087224, 0.7381405, 2.262307, 7.713841, 6.392058, 31.58196
7.197301349851338, 1.034918, 0.6896659, 2.088144, 7.346204, 7.168474, 29.9646
7.297263868599273, 0.9851286, 0.6443747, 2.593697, 6.996088, 6.848403, 28.9866
7.397226387347208, 0.9377347, 0.6020579, 3.016925, 6.662658, 7.771819, 29.5478
7.497188906095143, 0.9889992, 0.5625201, 2.784668, 6.53628, 8.833738, 28.90108
7.597151424843079, 0.941419, 0.5255787, 2.570291, 6.235947, 8.757776, 27.7575
7.697113943591014, 1.376758, 0.4910634, 2.465408, 6.309638, 8.366742, 28.46459
7.797076462338949, 1.310523, 0.4588147, 2.275609, 6.008924, 9.440473, 29.47535
7.897038981086885, 1.247475, 0.4286838, 2.100421, 5.722542, 9.955052, 29.28203
7.99700149983482, 1.187459, 0.4005316, 1.938721, 5.449809, 10.21023, 27.78245
8.096964018582755, 1.898278, 0.3742282, 1.789469, 5.190073, 9.754339, 26.35967
8.19692653733069, 1.806952, 0.3496523, 2.318557, 4.942718, 9.318809, 29.37605
8.296889056078626, 1.720021, 0.3266902, 2.988961, 5.431509, 8.902725, 27.87166
8.396851574826561, 1.637272, 0.3052361, 2.758856, 5.359224, 8.505219, 27.01861
8.496814093574496, 1.558504, 0.2851909, 2.546466, 5.398938, 8.125463, 29.79239
8.596776612322431, 1.483525, 0.2664621, 2.350427, 5.141628, 7.762661, 29.05901
8.696739131070366, 1.412153, 0.2489632, 2.16948, 5.480329, 7.416059, 27.57086
8.796701649818303, 1.344216, 0.2326135, 2.002463, 5.219139, 7.084933, 32.29549
8.896664168566238, 1.279546, 0.2173375, 1.848303, 4.970398, 6.768591, 30.64159
8.996626687314173, 1.217988, 0.2030647, 1.706012, 4.733511, 6.466374, 29.07239
9.096589206062108, 1.159391, 0.1897292, 1.574675, 4.507915, 7.149485, 30.00694
9.196551724810043, 1.103614, 0.1772695, 1.453449, 4.622979, 8.442498, 28.84782
9.296514243557978, 1.778509, 0.165628, 1.341555, 4.949461, 9.160317, 30.76761
9.396476762305914, 1.692946, 0.154751, 1.238276, 4.713572, 8.751309, 29.744
9.496439281053849, 1.611499, 0.1445884, 1.142948, 5.677812, 8.360565, 29.17176
9.596401799801784, 1.533971, 0.1350931, 1.501334, 5.674571, 9.828922, 28.76556
9.696364318549719, 1.460173, 0.1262214, 1.385754, 5.957456, 9.991277, 28.79552
9.796326837297654, 2.193477, 0.1179323, 1.279072, 5.673527, 10.09833, 33.88662
9.896289356045589, 2.08795, 0.1101875, 2.54809, 6.821976, 9.647442, 32.53091
9.996251874793526, 2.088539, 0.1029514, 2.351926, 7.157043, 9.216684, 30.86496
10.09621439354146, 1.988061, 0.09619043, 2.170864, 6.829775, 8.805161, 29.28432
10.1961769122894, 1.892416, 0.0898735, 2.00374, 7.582483, 8.412011, 27.78462
10.29613943103733, 1.801373, 0.0839714, 1.849483, 7.221106, 9.531116, 29.14571
10.39610194978527, 2.724808, 0.0784569, 3.52167, 7.443825, 9.105552, 31.09925
10.4960644685332, 2.593719, 0.07330455, 3.250555, 7.238369, 8.69899, 30.16419
10.59602698728114, 2.468937, 0.06849055, 3.000311, 6.893392, 8.310581, 29.87606
10.69598950602907, 2.350157, 0.0639927, 3.651934, 6.564857, 8.818579, 28.34607
10.79595202477701, 2.237093, 0.05979023, 3.581976, 7.165177, 8.42483, 30.6174
10.89591454352494, 2.129468, 0.05586373, 3.306219, 6.823689, 8.569129, 29.3005
