Time (s), Cell Name, Value
52.43689, C000, 2.559928
64.122826, C000, 4.765269
76.008521, C000, 4.010784
76.1084, C000, 2.955519
76.20828, C000, 5.007191
81.701669, C000, 2.93802
86.79553799999999, C000, 6.384293
87.09517700000001, C000, 4.197605
87.19505700000001, C000, 5.089552
87.294937, C000, 2.836977
87.694456, C000, 2.598549
88.79313399999999, C000, 2.603218
117.958033, C000, 3.410408
133.53928, C000, 4.71897
133.83892, C000, 4.108149
133.938799, C000, 4.725622
141.329904, C000, 3.346945
159.408146, C000, 3.929144
159.508026, C000, 2.643799
190.370881, C000, 2.631559
190.470761, C000, 4.667585
190.570641, C000, 3.047203
190.67052, C000, 3.637097
190.7704, C000, 3.77051
191.07004, C000, 3.948462
191.169919, C000, 4.447182
191.269799, C000, 5.354748
191.369679, C000, 6.688993
191.569439, C000, 4.839188
194.565832, C000, 2.675749
362.7634, C000, 4.458638
380.342243, C000, 3.69368
444.365189, C000, 3.641096
448.859779, C000, 3.910949
450.058337, C000, 2.618946
452.155812, C000, 5.843331
452.255692, C000, 6.24504
452.455452, C000, 8.31414
452.555332, C000, 2.977257
452.655211, C000, 4.184938
452.755091, C000, 2.7474
463.641988, C000, 2.518717
523.370103, C000, 2.97445
528.264213, C000, 2.684738
528.364093, C000, 2.937014
528.663732, C000, 4.769652
528.863492, C000, 4.91608
591.48812, C000, 3.816776
592.986317, C000, 3.907163
597.480908, C000, 2.566023
597.580788, C000, 2.637191
599.878023, C000, 4.85076
882.290191, C000, 2.979033
887.688174, C000, 4.346685
887.888099, C000, 4.588488
1067.920835, C000, 2.882259
1068.12076, C000, 4.99826
1068.220723, C000, 3.23428
1078.916727, C000, 2.707356
1079.116652, C000, 4.689807
1079.216615, C000, 3.977794
1079.316577, C000, 2.553213
1079.41654, C000, 4.104196
1079.516503, C000, 3.824621
1079.616465, C000, 3.552788
1079.716428, C000, 3.308828
1080.116278, C000, 6.538256
1080.216241, C000, 3.773617
1080.316204, C000, 3.385675
1189.375457, C000, 2.679437
1189.47542, C000, 3.748052
1255.150882, C000, 2.483865
1255.250844, C000, 4.14658
1320.326531, C000, 3.307564
1320.526456, C000, 4.990621
1320.726381, C000, 3.022518
1320.826344, C000, 4.076031
1320.926307, C000, 4.76054
1423.58795, C000, 3.603061
1423.787875, C000, 3.785064
1423.887838, C000, 2.582171
1563.535663, C000, 3.27181
1589.82584, C000, 4.018429
1590.025765, C000, 2.474056
1600.321918, C000, 2.920399
1600.621806, C000, 4.50341
1600.721769, C000, 3.215029
1600.821732, C000, 2.454654
1601.321545, C000, 7.312829
1601.421508, C000, 3.093636
1601.52147, C000, 4.302473
1601.621433, C000, 4.712618
1601.721396, C000, 5.49052
1601.821358, C000, 4.523031
1601.921321, C000, 3.344864
1602.121246, C000, 2.927734
1602.421134, C000, 2.876759
1603.320798, C000, 2.628469
1720.676951, C000, 2.734999
1776.356148, C000, 3.910833
1776.556074, C000, 2.73602
1776.656036, C000, 2.75994
1776.755999, C000, 6.4263
1776.855962, C000, 2.479261
19.776199, C007, 3.068334
19.975958, C007, 2.807613
201.657297, C007, 5.394035
336.594895, C007, 3.394992
336.894534, C007, 2.80191
337.294053, C007, 3.185505
337.493813, C007, 3.14209
337.793452, C007, 3.521708
338.292851, C007, 3.347612
396.02337, C007, 2.922943
418.696083, C007, 4.610107
418.995722, C007, 2.641945
420.394039, C007, 3.075933
431.081177, C007, 3.295779
431.280936, C007, 2.821266
494.604723, C007, 2.643733
495.004243, C007, 2.642693
495.204002, C007, 2.76202
495.303882, C007, 3.807488
495.603521, C007, 2.563629
495.703401, C007, 2.535872
547.3412530000001, C007, 3.038368
549.039209, C007, 2.972182
549.538608, C007, 3.466696
804.919098, C007, 2.914802
815.215251, C007, 3.972682
825.511404, C007, 2.799671
879.491236, C007, 3.625125
880.190975, C007, 2.706456
921.375587, C007, 2.594641
1068.320686, C007, 3.343866
1079.016689, C007, 3.094887
1133.896185, C007, 3.428294
1270.944981, C007, 3.140164
1273.444047, C007, 3.088731
1283.34035, C007, 4.197575
1324.524962, C007, 3.273165
1324.724887, C007, 2.710693
1325.024775, C007, 4.749991
1327.523842, C007, 2.61121
1385.90203, C007, 4.134449
1386.101956, C007, 4.442506
1386.401844, C007, 2.946296
1386.501806, C007, 2.967399
1388.301134, C007, 2.578336
1388.800947, C007, 5.124786
1389.100835, C007, 3.08835
1389.700611, C007, 2.633743
1389.900536, C007, 2.676842
1390.200424, C007, 3.548971
1390.300387, C007, 2.63212
1391.000126, C007, 2.598579
1391.399976, C007, 2.793516
1455.076185, C007, 2.663729
1640.906755, C007, 3.104521
1849.728735, C007, 3.124321
1897.011069, C007, 2.76086
1897.41092, C007, 2.635988
1911.405691, C007, 2.856124
1911.805541, C007, 2.642631
821.113048, C011, 2.880686
821.2130100000001, C011, 2.791095
821.512898, C011, 3.815226
1420.788996, C011, 2.725415
1420.988921, C011, 4.043283
1421.188846, C011, 2.689653
1422.08851, C011, 3.58411
1932.697736, C012, 3.428317
1932.797698, C012, 3.453268
1933.797325, C012, 3.553461
1933.897288, C012, 3.422968
1934.097213, C012, 2.741641
72.013329, C028, 2.60457
72.312968, C028, 2.80049
122.053104, C028, 3.152932
186.875088, C028, 2.534181
262.883609, C028, 2.67912
262.983489, C028, 4.011417
263.083369, C028, 6.510429
263.183248, C028, 3.143731
263.283128, C028, 5.761541
263.482888, C028, 4.094368
263.582768, C028, 5.122177
263.782527, C028, 4.552313
263.882407, C028, 4.421392
264.082167, C028, 3.921814
264.182046, C028, 3.762077
264.281926, C028, 3.227417
264.581566, C028, 3.019245
264.681445, C028, 3.229309
265.880003, C028, 2.781021
267.577959, C028, 2.680155
268.976276, C028, 2.902964
310.32651, C028, 2.588837
364.860875, C028, 2.760456
364.960755, C028, 2.644431
365.060635, C028, 4.270258
365.260395, C028, 4.81587
365.360274, C028, 2.987263
365.560034, C028, 3.454769
365.659914, C028, 4.478172
365.859673, C028, 2.631603
365.959553, C028, 3.822117
366.059433, C028, 4.086351
367.957149, C028, 3.071333
368.656307, C028, 2.680321
593.485716, C028, 3.53766
830.809425, C028, 2.895396
849.902291, C028, 2.536538
1156.287819, C028, 3.548821
1156.487744, C028, 3.951312
1156.587707, C028, 5.264203
1156.68767, C028, 3.050078
1156.887595, C028, 4.37491
1157.08752, C028, 4.189585
1157.187483, C028, 3.731985
1208.468323, C028, 2.915341
1208.868174, C028, 4.501196
1208.968137, C028, 3.989473
1209.068099, C028, 3.344387
1209.168062, C028, 8.179899
1212.666755, C028, 5.605911
1212.766717, C028, 3.446341
1212.86668, C028, 4.334902
1212.966643, C028, 5.129553
1213.066605, C028, 3.981991
1213.166568, C028, 3.542934
1213.466456, C028, 3.639477
1213.766344, C028, 5.733799
1214.166195, C028, 2.964451
1221.863319, C028, 2.523782
1259.049425, C028, 2.496662
1315.528323, C028, 2.68234
1317.127726, C028, 3.35904
1317.927427, C028, 3.300669
1318.02739, C028, 5.218431
1321.42612, C028, 2.588773
1321.825971, C028, 6.291867
1321.925933, C028, 2.91341
1324.924813, C028, 3.333334
1325.524589, C028, 3.078547
1325.824477, C028, 2.768044
1326.024402, C028, 3.21907
1326.424253, C028, 3.979879
1484.165317, C028, 3.241431
1538.445037, C028, 6.067895
1538.545, C028, 3.223234
1538.744925, C028, 3.304484
1538.844888, C028, 3.051215
1538.94485, C028, 5.368399
1539.044813, C028, 3.22077
1539.144776, C028, 5.197264
1539.244738, C028, 5.302723
1539.344701, C028, 3.355465
1539.644589, C028, 4.13063
1539.744551, C028, 3.439224
1539.844514, C028, 4.920284
1540.144402, C028, 2.519169
1541.243991, C028, 2.581314
1543.543132, C028, 3.218319
1595.923562, C028, 2.633735
1683.890695, C028, 3.309713
1683.990658, C028, 6.95876
1684.090621, C028, 4.865398
1684.190583, C028, 3.550079
1684.390509, C028, 2.783762
1684.590434, C028, 4.482334
1684.990285, C028, 5.133856
1685.59006, C028, 2.761429
1686.589687, C028, 2.817883
1688.688903, C028, 2.47815
1690.48823, C028, 3.335312
1690.688156, C028, 3.040716
1826.637362, C028, 5.502037
1826.737325, C028, 2.618237
1826.837287, C028, 4.036898
1827.037213, C028, 3.068604
1873.319921, C028, 3.14374
1873.519846, C028, 3.364787
1878.917829, C028, 5.371299
1879.017792, C028, 4.312993
1879.117754, C028, 5.101542
1879.217717, C028, 3.333485
1881.21697, C028, 3.308555
69.316575, C031, 2.547187
384.637074, C031, 2.666286
384.736954, C031, 2.759359
384.936713, C031, 5.470791
385.036593, C031, 2.983317
385.136473, C031, 2.946811
825.111554, C031, 2.842598
881.390527, C031, 3.438276
889.587464, C031, 2.980248
940.868305, C031, 3.737142
940.968267, C031, 3.843236
1015.240517, C031, 5.182063
1017.439696, C031, 3.2306
1154.888342, C031, 4.431533
1155.488118, C031, 5.625472
1158.786885, C031, 2.793917
1169.88274, C031, 7.020552
1169.982702, C031, 3.428672
1174.281096, C031, 4.88371
1190.075195, C031, 7.005168
1221.563431, C031, 4.261569
1263.247857, C031, 4.313922
1263.347819, C031, 3.612208
1278.242254, C031, 2.67095
1278.342217, C031, 6.973243
1278.44218, C031, 4.048161
1278.642105, C031, 5.416282
1279.041956, C031, 3.852323
1279.141918, C031, 4.122202
1384.102703, C031, 3.401655
1406.094486, C031, 3.225741
1506.556951, C031, 6.265089
1521.451386, C031, 3.48805
1545.142535, C031, 3.087029
1545.242497, C031, 3.463571
1832.335233, C031, 4.683182
1936.196429, C031, 4.413535
1936.296391, C031, 3.366646
91.989287, C032, 2.756642
95.88459899999999, C032, 3.31644
402.715316, C032, 6.160114
402.815196, C032, 3.892041
403.214715, C032, 3.520454
403.314595, C032, 3.131468
436.274926, C032, 2.731849
466.638382, C032, 2.61427
563.322019, C032, 4.989677
563.4218990000001, C032, 3.899625
563.521779, C032, 5.304483
581.89966, C032, 5.092761
581.99954, C032, 4.342525
582.798579, C032, 3.703075
582.898458, C032, 4.752115
582.998338, C032, 4.863131
1299.334374, C032, 3.014575
1346.916596, C032, 2.505178
277.665818, C035, 2.765631
357.569651, C035, 2.956635
582.29918, C035, 3.452097
957.66203, C035, 2.501828
16.180526, C036, 2.652443
18.477761, C036, 4.94258
20.475357, C036, 2.493054
167.798048, C036, 2.76258
203.255374, C036, 2.862673
277.565938, C036, 2.553853
278.864376, C036, 2.851373
279.363775, C036, 3.644979
354.473377, C036, 3.133694
357.569651, C036, 2.990009
398.520365, C036, 2.505185
581.400262, C036, 3.137167
581.699901, C036, 2.887095
581.7997810000001, C036, 2.637804
581.99954, C036, 2.568747
582.29918, C036, 3.764236
582.498939, C036, 2.770912
582.698699, C036, 2.596268
583.198098, C036, 2.871956
583.397857, C036, 4.596052
583.997136, C036, 3.59164
768.732618, C036, 5.216157
771.731498, C036, 2.535929
789.724775, C036, 2.814563
870.994411, C036, 2.573329
956.062628, C036, 2.837712
956.562441, C036, 2.990259
957.1622170000001, C036, 2.870463
957.961918, C036, 3.130608
958.261806, C036, 2.749538
958.361769, C036, 3.765038
958.761619, C036, 3.383987
1043.829836, C036, 2.629936
1044.7295, C036, 2.983148
1045.329276, C036, 3.624427
1045.529201, C036, 2.777753
1163.48513, C036, 3.233567
1163.585093, C036, 2.781078
1258.349687, C036, 3.767085
1275.04345, C036, 3.297037
1276.243001, C036, 3.224375
1276.542889, C036, 2.816517
1348.715924, C036, 3.872167
1398.297399, C036, 2.817829
1399.0971, C036, 2.741997
1540.344327, C036, 3.805645
1540.744178, C036, 3.139999
1643.205896, C036, 2.74047
1643.405821, C036, 3.077844
1699.684794, C036, 3.089769
1699.984682, C036, 3.158918
1700.28457, C036, 3.119275
1700.584458, C036, 3.497694
1729.773553, C036, 2.648143
1730.273366, C036, 2.940862
1734.97161, C036, 3.486791
1735.371461, C036, 3.176722
1735.771312, C036, 4.114099
1963.886083, C036, 3.081288
1964.086008, C036, 3.691137
97.98207499999999, C037, 2.470033
392.427698, C037, 3.65003
392.627457, C037, 2.648438
586.69389, C037, 4.657908
588.291967, C037, 2.610772
796.32231, C037, 3.350476
831.5091629999999, C037, 2.515548
891.186867, C037, 2.917814
891.386792, C037, 2.86268
891.586717, C037, 3.17066
1134.296036, C037, 2.552476
1146.991293, C037, 2.57665
1148.79062, C037, 3.46973
1232.45936, C037, 3.282331
