 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18
Time(s)/Cell Status, rejected, accepted, rejected, rejected, accepted, accepted, accepted, accepted, rejected, rejected, rejected, rejected, accepted, accepted, accepted, accepted, accepted, accepted, rejected
0, -0.2145982, -0.2116933, -1.307784, -0.004195526, -0.8908445, 1.428884, 1.748897, 0.9269356, 3.682727, -2.730471, 3.160635, -0.1382813, -2.528963, -1.228426, 0.9467238, 0.5629139, 0.8573477, -0.02715691, -0.7028923
0.09996262431444242, 0.8438314, -0.4845385, 0.05081914, -0.0373952, -0.8006572, -0.5179947, 3.111717, 0.8221434, 3.208689, -2.262383, 4.771501, 2.81325, -0.6366011, 0.9769454, -0.1115327, 0.7919329, 0.0684085, 0.7826865, 4.205139
0.1999252486288848, -0.2031969, -0.01651832, -0.8812934, 1.478934, -1.121683, 2.209646, 2.08435, 0.7286623, 2.083162, -1.163031, 3.882977, 1.646512, -1.869774, -0.5916213, -0.2325577, 0.6521391, 1.690263, -0.7593862, 3.984064
0.2998878729433272, 1.428239, -0.1076159, 0.273887, 2.5615, -0.526408, 1.961651, 2.805881, 1.242679, 3.505295, -1.444832, 4.38887, -0.1806922, -0.6765307, 1.160531, 2.780007, -0.3108475, 0.5318307, 0.5159047, 4.732854
0.3998504972577697, 1.629724, 0.893132, 0.8722126, 1.209095, -2.350437, 1.803208, 4.274802, 2.094991, 2.545246, -2.656613, 5.952615, 2.980393, -1.352403, 0.4635274, 3.424639, -2.354265, 1.635969, 0.6458213, 4.488009
0.4998131215722121, 0.5370857, -0.6271582, -0.1318811, 1.579956, -0.9899986, 1.899848, 3.376236, 1.652592, 0.675476, -0.422094, 4.207365, 0.5581352, -0.6527249, 1.974883, 4.705169, -1.686032, 1.732877, 0.03017839, 4.254192
0.5997757458866545, 1.242566, 0.7173389, 1.010556, 0.5577579, -0.814481, 2.009448, 1.314961, 4.766948, 0.6616529, 0.3762792, 2.896678, 1.18245, 0.6032579, 0.7614937, 2.858814, 0.5810687, 0.9352839, -0.4313089, 4.030908
0.6997383702010969, 1.419686, -0.1486745, 0.3473555, 0.5628935, -0.6865472, 1.04795, 4.061765, 2.748478, 2.017307, -0.889977, 3.783034, 2.866628, -2.013129, -1.012416, 3.574245, 0.6977836, 2.01617, 0.5259736, 4.081718
0.7997009945155393, -0.322988, 0.03832899, -0.9550691, -0.3435558, -2.009112, 2.188952, 3.292951, 4.171382, 1.62876, -2.669184, 4.181907, 1.197028, -0.4269654, -0.05909939, 2.236071, -1.220393, 1.555314, 0.6735158, 3.866203
0.8996636188299817, 0.4415561, -1.240805, 0.07148802, 1.01094, -0.6416702, -0.4471366, 3.845177, 2.336497, 1.410149, -2.054245, 4.006909, 2.446147, -1.064232, -0.6662617, 1.991604, 0.8189367, 2.437077, 0.09005281, 3.660395
0.9996262431444242, 1.78093, -0.9422097, 0.3284315, 1.229143, -1.897776, 2.638894, 1.699871, 2.953179, 2.071976, -2.791861, 3.001118, -0.7507239, -1.283783, -0.7676665, 1.832705, 0.4007784, 1.740771, -0.02717456, 6.203875
1.099588867458867, 3.481461, 0.6228008, 1.827407, 1.4563, -1.09289, 1.878387, 4.004032, 1.797809, 1.235261, -1.648059, 3.793692, 2.780604, 0.7343469, 0.01929825, 3.066097, -1.502016, 0.3225378, -0.2704806, 5.892769
1.199551491773309, 1.43392, -1.018573, 0.1303516, -0.5863409, -0.6210311, 1.702493, 2.713823, 2.315976, 2.673898, -1.444692, 3.010883, 2.894094, -0.1896619, 0.1642811, 2.791346, -0.4996823, 0.8495601, 1.683233, 5.595678
1.299514116087751, 1.737228, 0.99031, -0.822262, 1.475256, -2.286125, 0.601995, 4.121843, 2.202909, 2.766862, -0.9747429, 4.535119, 2.191393, -2.400935, 1.123162, 4.823493, 0.3864695, 0.2526373, -0.3718734, 5.311968
1.399476740402194, 0.9485627, -0.09687219, -0.002674606, 4.427259, -0.3918293, 0.8508197, 3.23544, 0.5216799, 3.486171, -0.9798064, 2.995994, 2.239713, -0.7414924, 1.042518, 1.715568, 0.4078587, 0.1957295, -0.1438788, 5.041038
1.499439364716636, 2.546679, -0.243469, -1.343259, 4.7753, -1.537904, 0.5784931, 3.933606, 2.109654, 1.545359, -0.4676791, 5.267889, 4.445201, 1.193043, 0.4586276, 2.406713, 0.4073713, 0.7195273, -0.3376851, 4.78231
1.599401989031079, 1.274121, 0.07349614, 0.3510647, 1.357815, 0.5729671, 2.245449, 3.814754, 3.448713, 3.88894, -1.512672, 2.960543, 0.7704819, -0.5531005, 0.2011783, 2.480744, 0.6530455, 1.313063, -0.5146604, 4.535237
1.699364613345521, 1.904154, 0.8687295, -1.103176, 1.353761, 1.925472, 1.063012, 5.233087, 0.07536788, 1.683142, -2.610349, 4.299637, 1.102762, -1.567395, -0.2509546, 1.883947, 0.8294195, 0.4948176, 0.3205365, 4.299294
1.799327237659963, 2.821335, 0.8095781, -1.109824, 2.616691, 1.891152, 2.372342, 4.577857, 1.640602, 2.943131, -2.234236, 5.4455, 3.465267, -0.5457457, 0.1738457, 1.796738, -0.7038894, 1.844093, -1.202001, 4.356268
1.899289861974406, 1.875398, -0.775966, 0.2626032, 1.680024, 0.3866234, 3.351308, 6.312584, 1.376583, 4.66183, -1.314558, 4.037193, 3.982027, 0.224712, -1.711129, 1.710852, 0.6786941, 1.559289, 0.7586861, 4.128385
1.999252486288848, 1.082435, -1.200716, -0.3910327, 0.4900666, 0.5918031, 2.754574, 4.595407, 1.599284, 5.241733, -0.3664415, 2.347929, 5.486904, -0.40823, -0.7963433, 1.58036, -0.04944975, 1.246693, 1.212482, 3.910767
2.099215110603291, 2.087403, -0.5663775, -0.330033, 0.01783189, -1.309992, 3.766901, 4.266626, 2.14992, 5.315115, 0.998805, 6.11841, 2.927076, -0.04010401, -1.495794, 1.461892, 0.9541684, -0.0388905, -0.9388711, 3.702952
2.199177734917733, 3.628466, 0.7022986, -0.09627558, 2.866059, -1.329026, 6.53848, 7.541651, 0.9560497, 2.863614, -1.159058, 5.167263, 3.828141, -1.723399, 0.836939, 2.081368, -0.7975942, 0.7753469, -0.3620352, 3.504497
2.299140359232176, -0.1721982, 0.7618855, -1.966321, 2.168601, -1.683524, 9.891989, 6.449982, 1.691917, 3.779894, -1.548458, 3.105252, 5.868595, -2.011179, 0.5455197, 1.123882, 0.7943014, 1.662006, 0.1840324, 3.314982
2.399102983546618, -0.1344832, -1.973041, -1.133539, 1.201044, 0.02643205, 11.64709, 5.578826, 2.794169, 6.170463, -2.641218, 2.871366, 7.325924, -1.24718, 0.3275048, 0.6611969, -1.736442, 0.2223025, 0.5619291, 3.134003
2.49906560786106, 0.6671706, -0.8237103, -0.8821551, 2.585231, 1.702031, 9.444073, 5.796927, 1.038455, 4.182388, -0.2380246, 4.560813, 3.361634, 1.805707, -0.4274563, 2.256174, -1.658087, 0.1580151, 0.3855129, 2.961175
2.599028232175503, -0.156343, -1.004454, -0.1199625, 2.795202, -0.1885349, 6.833213, 6.28702, 2.277808, 2.826375, -0.2004753, 6.007865, -0.04970934, 0.5976979, -0.9026572, 2.618841, -0.1631461, 0.5225389, 0.4339918, 2.796133
2.698990856489945, 0.9917822, -0.9261642, -2.797997, 3.197487, 0.6819549, 5.781104, 5.846335, 1.120928, 5.585816, -1.720683, 3.487836, 2.068871, 0.2997282, 1.352856, 1.279528, -0.3602756, -0.02384634, -0.7714788, 2.638524
2.798953480804387, -0.523666, -0.529566, 0.7541352, 1.416303, 1.081904, 5.099374, 7.240372, 1.005268, 5.155955, -0.9642493, 2.051065, 3.247084, -1.942732, -0.5684328, 2.654665, -1.037665, -0.06004691, -1.111569, 2.488015
2.89891610511883, 2.754017, 0.4646886, -0.2899198, 0.7560751, -0.1070245, 6.571998, 8.157907, 2.538885, 2.648331, -1.22557, 3.735211, 4.078097, -1.158765, -0.7268717, 1.58462, 0.7076231, 1.286437, 1.475785, 2.344285
2.998878729433272, 1.243653, -2.040725, -0.8076365, 2.401303, 0.5631642, 5.967645, 7.017743, 3.490826, 1.01827, -3.280081, 4.280974, 5.896175, -2.079786, -1.73339, -0.02172281, 1.37697, 0.6911554, 0.1187447, 2.20703
3.098841353747715, 2.147942, -1.467897, 0.4142302, 4.540239, -1.595261, 7.48068, 5.906602, 0.9260975, 1.079812, -3.078957, 2.913144, 4.911413, -1.207407, 1.690665, 1.201991, 0.3453525, -0.1341985, 0.2552848, 2.075957
3.198803978062157, 2.386256, -2.394607, -1.181423, 4.315197, 0.1280954, 7.382083, 4.825947, -0.08874352, -1.020278, -1.36348, 2.923774, 4.80793, -0.4648538, -0.4878786, -0.06935851, 0.02412364, 1.658017, -0.7597886, 1.950787
