 , C00, C01, C02, C03, C12, C16, C22, C29, C30, C32, C36, C38
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
156.2417339315035, 3.944154, 0.2489196, 9.329221, 0.06594715, 11.2082, 0.3210209, 0.05239225, 13.9178, 1.181186, 0.5810653, 0.07977946, 19.07675
156.3416966531487, 3.735359, 0.2296963, 11.06775, 0.06279966, 10.68003, 0.2771398, 0.04969999, 13.09371, 1.110845, 0.5500557, 0.07122692, 19.76514
156.4416593747939, 3.537618, 0.2119575, 10.48824, 0.05980239, 10.17674, 0.2392569, 0.04714607, 12.3184, 1.044693, 0.5207009, 0.06359123, 25.73756
156.5416220964392, 3.350345, 0.1955886, 9.722932, 0.05694818, 9.697176, 0.2065523, 0.04472339, 11.58901, 0.9824808, 0.4929128, 0.0567741, 28.24203
156.6415848180844, 3.172985, 0.2702157, 9.225483, 0.05423019, 9.240209, 0.1783181, 0.04242521, 11.92789, 0.923973, 0.4666076, 0.05068779, 29.035
156.7415475397297, 3.005015, 0.2493477, 8.501663, 0.05164192, 8.804775, 0.1539434, 0.04024512, 11.22162, 0.8689494, 0.4417062, 0.04525394, 33.17636
156.8415102613749, 2.845936, 0.2300912, 7.834633, 0.04917718, 8.389861, 0.1329005, 0.03817706, 10.87626, 0.8172026, 0.4181337, 0.04040262, 31.25389
156.9414729830201, 2.695279, 0.4103706, 8.08978, 0.04683008, 7.994499, 0.114734, 0.03621527, 10.23226, 0.7685373, 0.3958192, 0.03607136, 29.44283
157.0414357046654, 3.124511, 0.4906988, 7.714306, 0.044595, 7.617768, 0.09905071, 0.03435429, 10.35265, 0.7227701, 0.3746956, 0.03220443, 27.73671
157.1413984263106, 2.959107, 0.4528035, 7.864883, 0.04246659, 7.25879, 0.08551122, 0.03258894, 9.739655, 0.6797284, 0.3546993, 0.02875204, 26.12945
157.2413611479558, 2.802459, 0.4178347, 7.354446, 0.04043977, 6.916728, 0.07382248, 0.0309143, 10.50985, 0.6392499, 0.3357701, 0.02566976, 24.61533
157.341323869601, 2.654103, 0.3855665, 8.109871, 0.03850968, 7.736367, 0.06373151, 0.02932572, 11.04392, 0.6011819, 0.3178511, 0.0229179, 23.18895
157.4412865912463, 2.513601, 0.3557903, 7.47358, 0.03667171, 7.768305, 0.05501989, 0.02781877, 10.38999, 0.5653809, 0.3008884, 0.02046105, 22.68093
157.5412493128915, 2.380537, 0.3283136, 7.562493, 0.03492146, 7.514785, 0.04749908, 0.02638925, 9.774777, 0.5317118, 0.284831, 0.01826758, 21.36664
157.6412120345367, 2.254516, 0.3029588, 6.969149, 0.03325475, 7.475461, 0.04100632, 0.0250332, 10.55771, 0.5000478, 0.2696304, 0.01630925, 20.12851
157.741174756182, 2.135168, 0.2795621, 6.422358, 0.03166759, 7.123189, 0.03540106, 0.02374682, 9.932572, 0.4702694, 0.2552411, 0.01456086, 18.96212
157.8411374778272, 2.022137, 0.2579723, 6.545658, 0.03015617, 6.787518, 0.030562, 0.02252655, 9.344447, 0.4422644, 0.2416197, 0.3213487, 17.86333
157.9411001994725, 1.915089, 0.2380498, 6.527284, 0.0287169, 7.439935, 0.02638441, 0.02136899, 8.791145, 0.4159271, 0.2287252, 0.2868994, 17.51904
158.0410629211177, 1.813709, 0.2196659, 6.015161, 0.02734631, 7.089337, 0.02277786, 0.02027091, 8.270606, 0.3911582, 0.2165189, 0.2561431, 16.50386
158.1410256427629, 1.882119, 0.2027017, 5.543219, 0.02604114, 6.75526, 0.0196643, 0.01922925, 7.780889, 0.5423988, 0.2049639, 0.228684, 15.54751
158.2409883644082, 1.782484, 0.1870476, 6.126277, 0.02479826, 6.436927, 0.01697633, 0.01824113, 7.320168, 1.138611, 0.1940257, 0.2041685, 14.64659
158.3409510860534, 1.688123, 0.1726024, 5.645617, 0.0236147, 6.866032, 0.0146558, 0.01730378, 6.886728, 1.070806, 0.1836711, 0.1822812, 13.79786
158.4409138076986, 1.598758, 1.342806, 5.506167, 0.02248763, 6.542479, 0.01265246, 0.01641459, 6.478952, 1.007038, 0.1738692, 0.1627402, 12.99832
158.5408765293439, 1.514124, 1.259557, 5.07416, 0.02141436, 6.234172, 0.01092296, 0.0155711, 6.095322, 0.9470678, 0.1645903, 0.2975601, 12.24511
158.6408392509891, 1.433969, 1.210945, 4.676047, 0.0203923, 8.766715, 0.009429877, 0.01477095, 5.734407, 0.8906689, 1.036954, 0.265661, 11.53554
158.7408019726344, 1.358058, 1.76277, 4.30917, 0.01941903, 9.029799, 0.008140883, 0.01401192, 5.394863, 0.8376287, 0.9816153, 0.2371815, 10.86709
158.8407646942796, 1.286166, 1.626637, 3.971078, 0.01849221, 9.070146, 0.007028086, 0.0132919, 5.075424, 0.787747, 0.9292296, 0.2117551, 10.23738
158.9407274159248, 1.218079, 1.501016, 3.659512, 0.01760962, 10.12415, 0.0060674, 0.01260887, 4.774899, 0.7408358, 0.8796396, 0.1890545, 9.644156
159.0406901375701, 1.153597, 1.385097, 3.372391, 0.01676916, 10.24571, 0.3216216, 0.01196094, 5.500922, 0.6967182, 0.832696, 0.1687874, 9.085308
159.1406528592153, 1.092528, 1.278129, 3.107797, 0.01596881, 9.762895, 0.2776583, 0.01134631, 5.175202, 0.6552279, 0.7882576, 0.150693, 8.558843
159.2406155808605, 1.034692, 1.179423, 2.863963, 0.01520666, 9.30283, 0.2397045, 0.01076326, 5.324169, 0.6162084, 0.7461908, 0.3368692, 8.429758
159.3405783025058, 0.9799179, 1.088339, 2.63926, 0.01448089, 9.475447, 0.2069387, 0.01021017, 6.023914, 0.5795125, 0.7063689, 0.7583619, 7.94128
159.440541024151, 0.9280434, 1.00429, 2.432187, 0.01378975, 9.028928, 0.1786518, 0.009685507, 5.667227, 0.5450019, 0.6686723, 0.6770638, 7.481108
159.5405037457962, 0.8789149, 0.9267315, 2.241361, 0.0131316, 9.64044, 0.1542314, 0.009187801, 5.331661, 0.5125465, 0.6329873, 0.604481, 7.047601
159.6404664674415, 0.8323871, 0.8551626, 2.401984, 0.01250486, 10.57121, 0.1331491, 0.008715671, 5.015964, 0.4820238, 0.5992068, 0.5396792, 6.639215
159.7404291890867, 0.8942625, 0.7891207, 2.213527, 0.01190804, 10.07305, 0.1149487, 0.008267801, 4.718959, 0.4533188, 0.567229, 0.4818244, 6.254493
159.8403919107319, 1.40475, 0.7281791, 2.039856, 0.0113397, 9.598372, 0.09923604, 0.007842947, 4.439541, 0.4263232, 0.5369578, 0.4301717, 5.892065
159.9403546323772, 1.330385, 0.6719438, 1.879812, 0.01079848, 13.2191, 0.08567122, 0.007439924, 4.176668, 0.4009352, 0.508302, 0.3840563, 5.550638
160.0403173540224, 1.259958, 0.6200515, 1.732324, 0.0102831, 12.59617, 0.07396061, 0.007057611, 3.92936, 0.3770591, 0.4811756, 0.3428846, 5.228996
160.1402800756676, 1.193259, 0.5721666, 2.088159, 0.00979231, 12.00259, 0.06385075, 0.006694944, 3.696696, 0.7162351, 0.4554968, 0.3061266, 4.925992
160.2402427973129, 1.13009, 0.5279798, 1.924325, 0.009324948, 13.18952, 0.05512284, 0.006350914, 3.477808, 0.6735826, 0.4311883, 0.2733091, 4.640547
160.3402055189581, 1.070266, 0.4872054, 1.773345, 0.008879893, 12.80148, 0.04758796, 0.006024561, 3.271881, 1.72719, 0.4081772, 0.2440097, 4.371642
160.4401682406034, 1.013608, 0.4495799, 1.63421, 0.008456077, 12.19822, 0.04108305, 0.005714979, 3.078147, 1.624334, 0.3863941, 0.2178513, 4.118319
160.5401309622486, 0.9599504, 0.4148601, 1.505992, 0.008052491, 11.62339, 0.0354673, 0.005421306, 2.895884, 1.527603, 0.3657734, 0.1944972, 3.879675
160.6400936838938, 0.9091328, 0.3828216, 1.387834, 0.007668165, 12.56778, 0.5029926, 0.005142723, 2.724414, 2.295774, 0.3462533, 0.1736466, 3.65486
160.7400564055391, 0.8610054, 0.3532573, 1.278946, 0.007302183, 11.97554, 1.065368, 0.004878456, 2.563096, 2.159058, 0.3277748, 0.3419967, 4.074241
160.8400191271843, 0.8154258, 0.3259762, 1.178601, 0.006953668, 13.85147, 0.9197406, 0.004627768, 2.411331, 2.030484, 0.3102825, 0.3053339, 3.838151
160.9399818488295, 0.7722591, 0.300802, 1.08613, 0.006621787, 13.19874, 4.325243, 0.004389963, 2.268552, 1.94814, 0.2937237, 0.2726014, 3.615742
161.0399445704748, 0.7313774, 0.2775719, 1.000913, 0.006305746, 17.8442, 5.312383, 0.004164377, 2.134227, 1.832126, 0.2780486, 0.2433779, 3.406222
161.13990729212, 0.69266, 0.2561358, 0.9223828, 0.006004789, 19.37113, 4.58622, 0.003950384, 2.007855, 1.723021, 0.2632101, 0.2172872, 3.208842
161.2398700137653, 0.6559922, 0.7549499, 0.8500138, 0.005718195, 18.45829, 3.959318, 0.003747387, 5.136013, 1.620414, 0.2491634, 0.1939935, 3.022899
161.3398327354105, 0.6212655, 0.6966472, 0.7833228, 0.005445281, 21.63686, 3.418109, 0.003554821, 4.8319, 1.523916, 0.2358663, 0.173197, 2.847732
161.4397954570557, 0.5883771, 0.6428471, 0.7218642, 0.005185391, 20.61724, 2.950879, 0.003372151, 4.545794, 1.950252, 0.2232789, 0.1546299, 2.682715
