 , C0, C1, C2, C3
Time(s)/Cell Status, accepted, accepted, accepted, accepted
369.161740556192,0.00653106,1.984078E-10,0.000008060245,0.1129286
369.261703117945,0.005570167,1.70156E-10,0.000007605641,0.1009698
369.361665679699,0.004750646,1.459271E-10,0.4649344,0.09027744
369.461628241453,0.004051699,1.251482E-10,0.4387118,0.08071736
369.561590803206,0.003455586,1.073281E-10,3.421318,0.07216966
369.66155336496,0.002947177,9.204539E-11,3.228353,0.06452714
369.761515926714,0.002513569,7.893884E-11,3.046272,0.05769393
369.861478488467,0.002143756,6.769856E-11,2.87446,0.05158434
369.961441050221,0.001828352,5.805881E-11,2.712338,0.04612173
370.061403611975,0.001559352,4.979168E-11,2.559361,0.04123759
370.161366173728,0.00132993,4.270173E-11,2.415011,0.03687067
370.261328735482,0.001134262,0.05148128,2.278802,0.03296619
370.361291297235,0.0009673815,0.04415074,2.150276,0.02947518
370.461253858989,0.0008250538,0.1793294,2.028999,0.02635386
370.561216420743,0.0007036664,0.1537943,1.914562,0.02356307
370.661178982496,0.0006001382,0.1318952,1.80658,0.02106782
370.76114154425,0.0005118418,0.1131143,1.704687,0.01883681
370.861104106004,0.0004365362,0.09700774,1.608542,0.2602089
370.961066667757,0.0003723101,0.1796436,1.517819,0.2326536
371.061029229511,0.0003175333,0.1540637,1.432213,0.2080164
371.160991791265,0.0002708157,0.1321263,1.351435,0.4740162
371.260954353018,0.0002309715,0.1133125,1.275213,1.851916
371.360916914772,0.0001969894,0.09717767,1.20329,4.621614
371.460879476525,0.000168007,0.08334032,1.135424,4.20511
371.560842038279,0.0001432886,0.0714733,1.071385,3.759803
371.660804600033,0.0001222071,0.06129605,1.010958,3.361653
371.760767161786,0.0001042271,0.05256797,0.9539393,3.005665
371.86072972354,0.00008889254,0.0450827,0.9001365,2.687375
371.960692285294,0.00007581407,0.03866327,0.8493682,2.402791
372.060654847047,0.00006465979,0.03315792,0.8014632,2.148344
372.160617408801,0.00005514661,0.02843649,0.7562601,1.920841
372.260579970554,0.00004703307,0.1616132,0.7136065,1.717431
372.360542532308,0.00004011325,0.1386007,0.6733586,1.53556
372.460505094062,0.00003421152,0.1188651,0.6353806,1.37295
372.560467655815,0.00002917809,0.1019396,0.5995447,1.227559
372.660430217569,0.00002488521,0.08742418,0.56573,1.097565
372.760392779323,0.00002122393,0.07497565,0.5338224,0.9813362
372.860355341076,0.00001810132,0.0642997,0.5037144,0.877416
372.96031790283,0.00001543813,0.05514392,0.4753046,0.7845005
373.060280464584,0.00001316677,0.04729185,0.4484971,0.7014245
373.160243026337,0.00001122959,0.04055786,0.4232015,0.627146
373.260205588091,0.000009577415,0.03478273,0.3993326,0.5607333
373.360168149845,0.000008168321,0.02982994,0.37681,0.5013536
373.460130711598,0.000006966543,0.02558238,0.3555576,0.4482619
373.560093273352,0.000005941578,0.02193965,0.3355039,0.4007924
373.660055835105,0.000005067413,0.01881561,0.3165812,0.3583499
373.760018396859,0.000004321861,0.01613642,0.2987258,0.3204018
373.859980958613,0.000003686,0.01383871,0.2818775,0.2864724
373.959943520366,0.00000314369,0.01186819,0.2659794,0.2561359
374.05990608212,0.00000268117,0.01017825,0.250978,0.229012
374.159868643874,0.000002286698,0.008728946,0.2368226,0.2047604
374.259831205627,0.000001950264,0.007486011,0.2234657,0.1830769
374.359793767381,0.000001663328,0.006420061,0.2108621,0.1636897
374.459756329135,2.477924,0.005505894,0.1989693,0.1463555
374.559718890888,2.697797,0.004721897,0.1877473,0.1308569
374.659681452642,2.300879,0.004049535,0.1771582,0.1169996
374.759644014396,1.962358,0.003472913,0.1671664,0.1046098
374.859606576149,1.673643,0.002978397,0.157738,0.09353193
374.959569137903,1.427405,0.002554296,0.1488415,0.08362721
375.059531699656,1.217396,0.002190584,0.1404467,0.4538817
375.15949426141,1.038284,0.001878662,0.1325254,0.4058172
375.259456823164,0.8855247,0.001611155,0.1250509,0.3628425
375.359419384917,0.7552403,0.001381739,0.117998,0.3244187
375.459381946671,0.6441243,0.00118499,0.1113428,0.2900638
375.559344508425,0.5493563,0.001016257,0.105063,0.2593471
375.659307070178,0.4685313,0.0008715494,0.09913735,0.2318831
375.759269631932,0.3995979,0.0007474475,0.09354594,0.2073274
375.859232193686,0.3408063,0.0006410168,0.08826988,0.1853721
375.959194755439,0.2906646,0.0005497409,0.0832914,0.1657419
376.059157317193,0.2479001,0.0004714621,0.0785937,0.1481903
376.159119878946,0.2114274,0.0004043295,0.07416096,0.1324975
376.2590824407,0.1803207,0.0003467561,0.06997823,0.1184665
376.359045002454,0.1537907,0.0002973807,0.0660314,0.1059213
376.459007564207,0.131164,0.000255036,0.06230719,0.09470455
376.558970125961,0.1118663,0.0002187208,0.05879302,0.08467565
376.658932687715,0.09540776,0.0001875767,0.05547705,0.07570878
376.758895249468,0.08137073,0.0001608672,0.0523481,0.06769148
376.858857811222,0.06939892,0.000137961,0.04939563,0.06052317
376.958820372976,0.05918848,0.0001183164,0.04660968,0.05411397
377.058782934729,0.05048027,0.000101469,0.04398087,0.04838349
377.158745496483,0.04305327,0.00008702063,0.04150032,0.04325984
377.258708058237,0.03671899,0.00007462957,0.03915967,0.03867877
377.35867061999,0.03131664,0.0000640029,0.03695104,0.03458281
377.458633181744,0.02670913,0.00005488938,0.03486697,0.03092061
377.558595743497,0.0227795,0.00004707355,0.03290045,0.02764622
377.658558305251,0.01942803,0.00004037064,0.03104484,0.02471858
377.758520867005,0.01656964,0.00003462218,0.02929389,0.02210096
377.858483428758,0.01413181,0.00002969224,0.02764169,0.01976055
377.958445990512,0.01205264,0.0000254643,0.02608268,0.01766797
378.058408552266,0.01027938,0.00002183838,0.0246116,0.01579699
378.158371114019,0.008767004,0.00001872876,0.02322349,0.01412414
378.258333675773,0.007477143,0.00001606193,0.02191367,0.01262844
378.358296237527,0.006377056,0.00001377484,0.02067772,0.01129113
378.45825879928,0.00543882,0.00001181341,0.01951148,0.01009544
378.558221361034,0.004638624,0.00001013127,0.01841102,0.009026366
378.658183922787,0.003956159,0.000008688655,0.01737262,0.008070504
378.758146484541,0.003374102,0.000007451457,0.0163928,0.007215865
378.858109046295,0.002877682,0.000006390427,0.01546823,0.006451729
378.958071608048,0.002454298,0.00000548048,0.01459581,0.005768513
379.058034169802,0.002093205,0.000004700102,0.0137726,0.005157647
379.157996731556,0.001785238,0.000004030844,0.01299581,0.004611469
379.257959293309,0.001522582,0.000003456883,0.01226284,0.00412313
379.357921855063,0.00129857,0.000002964649,0.01157121,0.003686505
379.457884416817,0.001107515,0.000002542506,0.01091858,0.003296116
379.55784697857,0.0009445702,0.000002180473,0.01030277,0.002947069
379.657809540324,0.0008055986,0.000001869991,0.009721683,0.002634984
379.757772102077,0.0006870735,0.000001603718,0.009173374,0.002355948
379.857734663831,0.0005859867,0.000001375361,0.008655989,0.002106461
379.957697225585,0.0004997724,0.00000117952,0.008167785,0.001883394
380.057659787338,0.0004262425,0.000001011566,0.007707116,0.001683949
380.157622349092,0.0003635308,0.0000008675268,0.007272429,0.001505624
380.257584910846,0.0003100457,0.0000007439976,0.006862259,0.001346184
380.357547472599,0.0002644297,0.0000006380581,0.006475222,0.001203627
380.457510034353,0.000225525,0.0000005472036,0.006110015,0.001076167
380.557472596107,0.0001923443,0.000000469286,0.005765406,0.0009622047
380.65743515786,0.0001640453,0.0000004024633,0.005440233,0.0008603105
380.757397719614,0.0001399099,0.0000003451556,0.0051334,0.0007692064
380.857360281368,0.0001193254,0.0000002960081,0.004843873,0.0006877501
380.957322843121,0.0001017694,0.0000002538588,0.004570675,0.0006149196
381.057285404875,0.00008679642,0.0000002177113,0.004312885,0.0005498017
381.157247966629,0.00007402634,0.0000001867109,0.004069636,0.0004915795
381.257210528382,0.00006313508,0.0000001601247,0.003840105,0.0004395229
381.357173090136,0.00005384623,0.0000001373242,0.003623521,0.0003929789
381.457135651889,0.00004592401,0.0000001177703,0.003419152,0.0003513637
381.557098213643,0.00003916736,0.0000001010007,0.003226309,0.0003141555
381.657060775397,0.00003340479,0.00000008661898,0.003044343,0.0002808875
381.75702333715,0.00002849005,0.00000007428511,0.00287264,0.0002511425
381.856985898904,0.0000242984,0.00000006370748,0.002710621,0.0002245473
381.956948460658,0.00002072346,0.00000005463603,0.00255774,0.0002007685
382.056911022411,0.00001767448,0.00000004685628,0.002413481,0.0001795078
382.156873584165,0.00001507409,0.00000004018431,0.002277359,0.0001604985
382.256836145919,0.00001285629,0.00000003446237,0.002148914,0.0001435023
382.356798707672,0.00001096479,0.0000000295552,0.002027714,0.0001283059
382.456761269426,0.000009351575,0.00000002534676,0.00191335,0.0001147187
382.55672383118,0.000007975708,0.00000002173758,0.001805435,0.0001025704
382.656686392933,0.000006802268,0.00000001864232,0.001703607,0.00009170852
382.756648954687,0.000005801473,0.00000001598779,0.001607523,0.00008199689
382.85661151644,0.164128,0.00000001371126,0.001516857,0.0000733137
382.956574078194,0.9564848,0.00000001175888,0.001431305,0.00006555003
383.056536639948,0.8157603,0.00000001008451,0.001350579,0.0000586085
383.156499201701,0.6957402,0.00000000864855,0.001274405,0.00005240205
383.256461763455,0.5933782,0.000000007417063,0.001202528,0.00004685285
383.356424325209,7.379733,0.000000006360931,0.001134704,0.00004189129
383.456386886962,6.293977,0.000000005455183,0.001070706,0.00003745515
383.556349448716,5.367965,0.000000004678407,0.001010318,0.00003348877
383.656312010469,4.578194,0.000000004012239,0.000953335,0.00002994242
383.756274572223,3.904619,0.000000003440927,0.0008995662,0.00002677162
383.856237133977,3.330145,0.000000002950965,0.00084883,0.00002393659
383.95619969573,2.840192,0.00000000253077,0.0008009553,0.00002140179
384.056162257484,2.422324,0.000000002170408,0.0007557809,0.00001913541
384.156124819238,2.065935,0.000000001861359,0.0007131543,0.00001710904
384.256087380991,1.761981,0.000000001596316,0.0006729319,0.00001529725
384.356049942745,1.502746,0.000000001369013,0.0006349781,0.00001367732
384.456012504499,1.281652,0.000000001174076,0.0005991649,0.00001222894
384.555975066252,1.093087,0.000000001006897,0.0005653715,0.00001093393
384.655937628006,0.9322646,8.635223E-10,0.0005334842,0.000009776067
384.755900189759,0.7951035,7.405633E-10,0.0005033953,0.000008740814
384.855862751513,0.6781226,6.351129E-10,0.0004750034,0.000007815192
384.955825313267,0.5783526,5.446777E-10,0.0004482129,0.000006987589
385.05578787502,0.4932615,4.671198E-10,0.0004229333,0.000006247627
385.155750436774,0.4206895,4.006055E-10,0.0003990796,0.000005586024
385.255712998528,0.3587948,3.435624E-10,0.0003765712,0.000004994483
385.355675560281,0.3060065,2.946418E-10,0.0003553323,0.000004465584
385.455638122035,0.2609848,2.52687E-10,0.0003352913,0.000003992694
385.555600683789,0.2225869,2.167064E-10,0.0003163807,0.000003569881
385.655563245542,0.1898385,1.85849E-10,0.0002985366,0.000003191842
385.755525807296,0.1619081,1.593856E-10,0.0002816989,0.000002853837
385.85548836905,0.1380871,1.366903E-10,0.0002658109,0.000002551625
385.955450930803,0.1177708,1.172267E-10,0.000250819,0.000002281417
386.055413492557,0.1004436,1.005345E-10,0.0002366726,0.000002039822
386.155376054311,0.08566566,8.621916E-11,0.0002233241,0.000001823812
386.255338616064,0.07306195,7.394221E-11,0.0002107285,0.000001630676
386.355301177818,0.06231258,6.341341E-11,0.0001988432,1.672728
386.455263739571,0.05314474,5.438383E-11,0.0001876283,2.366394
