 , C00, C02, C05, C06, C07, C08, C09, C11, C12, C14, C15, C16, C17, C18, C23, C24
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
171.2354754802462, 2.27429, 7.430447, 2.910826, 2.240795e-05, 0.01089572, 5.003967, 6.739282e-06, 1.095167, 0, 0.538633, 0.3660114, 1.457835, 6.08535e-06, 2.178481, 2.401052, 3.732074
171.3354378126923, 2.119763, 9.066756, 2.762135, 2.101335e-05, 0.01010604, 6.916258, 6.398652e-06, 1.817867, 0, 0.4736894, 0.3511838, 1.383139, 5.643971e-06, 2.188228, 2.261686, 3.532141
171.4354001451385, 2.214911, 9.300986, 3.588204, 1.970554e-05, 0.009373588, 7.583794, 6.07524e-06, 1.698707, 0, 0.4165761, 0.3369569, 1.312269, 5.234606e-06, 2.490238, 2.130408, 3.342919
171.5353624775846, 2.064419, 9.301495, 3.404911, 1.847912e-05, 0.008694225, 7.148378, 5.768174e-06, 1.587358, 0, 0.366349, 0.3233063, 1.245031, 4.854933e-06, 2.330893, 2.006751, 3.163833
171.6353248100308, 1.924151, 8.884066, 3.23098, 1.732904e-05, 0.0080641, 6.737961, 5.476628e-06, 1.483308, 0, 0.3221779, 0.3102087, 1.181238, 4.502798e-06, 2.181744, 2.257946, 2.994341
171.7352871424769, 1.793414, 8.48537, 3.065935, 0.03877012, 0.007479643, 6.351108, 5.199818e-06, 1.386078, 0, 0.5827627, 0.2976417, 1.120713, 4.176204e-06, 2.32978, 2.126886, 2.833929
171.8352494749231, 1.956698, 8.104567, 2.90932, 0.03635718, 0.006937546, 5.986465, 4.936999e-06, 2.054935, 0, 0.5124983, 0.2855838, 1.06329, 3.873298e-06, 2.180702, 2.716781, 2.682111
171.9352118073692, 1.82375, 7.740853, 2.760705, 0.03409442, 0.006434738, 5.642758, 4.687464e-06, 1.920236, 0, 0.4507058, 0.2740144, 1.008809, 3.592363e-06, 2.041164, 2.77398, 2.538426
172.0351741398154, 1.699835, 7.690021, 2.619682, 0.03197248, 0.005968372, 5.318785, 4.450542e-06, 1.794366, 0, 0.3963636, 0.2629137, 0.9571196, 3.331804e-06, 1.910554, 3.227511, 2.402438
172.1351364722615, 1.584339, 7.344911, 2.66017, 0.02998261, 0.005535806, 5.013412, 4.225594e-06, 1.676747, 0, 1.26451, 0.2522627, 0.9080786, 3.090144e-06, 1.788302, 3.040173, 2.544512
