 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, rejected, accepted, accepted, rejected, accepted, accepted, accepted
2.798488, 0.9190155, 2.81514, 1.603158, -0.3470051, -0.3668914, 1.442448, 0.05591412, 2.349605, -0.8832469, -2.38456, 0.2253701, 9.36485, -1.615423, -0.6685674, 4.419954, 0.06297879
2.898434, -0.6336415, 1.556896, -0.1591695, -0.6895517, -0.04022996, -0.5461632, -0.3316219, -0.5244455, 0.1738134, -0.5312867, 0.4067594, 9.404468, -1.180662, -2.006141, 5.02122, 0.8835958
2.99838, -0.6016226, 2.058056, -1.911323, -1.069774, 0.6300617, 1.256148, 1.091819, 0.8709402, 2.260423, -1.349846, -1.201009, 11.588, -0.01348379, -1.236539, 3.577461, 0.4319773
3.098326, -0.3402735, 3.28253, 1.639646, -0.2565399, -2.099169, 1.902631, 0.9476498, 0.1616169, 0.8093745, -0.8437321, -0.8384835, 14.43094, 0.2593164, -2.099678, 5.199289, 0.3903224
3.198272, -0.9045732, 1.380978, 1.473936, 0.6821566, -0.1880174, -0.4556544, -1.033341, 0.9158778, 0.9805967, -0.3425591, 0.8412524, 11.71239, 0.5258134, -1.693893, 4.981615, 1.589572
3.298218, -0.8625005, 1.167616, -0.6108111, 0.7447957, -0.4036134, -0.7660187, -1.703399, 1.38597, 0.04125781, 0.7560938, 0.2975881, 9.417866, 0.5480062, -1.181992, 5.886183, 1.08379
3.398164, -1.415609, 1.19326, 0.5455101, -2.30494, -2.444127, 0.4316285, 0.3460107, 1.894895, -0.08046968, -1.518173, 1.811852, 12.4423, 0.2163772, -0.5835611, 4.03453, -2.957894
3.49811, -1.778814, 2.05952, 0.5153078, 0.6721952, -1.282929, 0.291073, 1.294589, -0.03510888, -2.642241, 0.5351885, 0.1813133, 12.83174, -0.4859626, -2.296377, 3.178495, -1.973789
3.598056, 0.1987046, 1.065793, 0.04478475, 1.107178, -0.04037072, 0.03953758, 1.790674, 1.877134, 1.43348, -0.2578861, -1.543645, 10.7928, 0.007565996, -2.057582, 4.047616, -0.5988763
3.698002, 0.04305326, 2.696542, 1.931531, -0.8220003, -0.04593233, -0.8834257, 1.154251, 1.49394, 1.096856, 0.08714864, 0.4280058, 8.654179, 1.245085, -2.8578, 3.988029, -0.7401403
3.797948, 0.5731579, 1.163572, 0.5931358, 0.171987, -1.198169, 0.4996269, 1.667274, 0.4941306, 1.357215, -0.941004, 0.3810392, 9.94824, -1.099897, -2.279425, 7.163479, -1.442334
3.897894, -0.0731231, 0.9165761, 0.0237277, -0.9518585, -1.817227, 0.7936, -0.2138278, 0.9681712, 0.8252959, -0.1976534, -1.005077, 10.32515, 0.09297992, -1.693246, 6.320643, -0.1421901
3.99784, 0.3750452, 2.698707, -0.979962, -1.375352, -2.575615, 0.1364465, 0.3690015, -0.3483051, 1.227653, -1.39455, 1.42968, 9.408435, 0.1996758, -1.860501, 6.387726, 0.210635
4.097786, -1.06813, 2.174061, 1.278522, 0.9192718, 0.3459152, 1.651519, 2.356496, 3.409924, 0.5096022, 0.6780996, -1.676411, 8.548429, -0.6539719, -1.841421, 6.413573, 0.9518973
4.197732, -1.830321, 1.344909, 1.563634, -1.574775, -0.02242634, 0.3286168, 1.777699, 0.09705842, 0.9315158, -0.1568588, -0.08439396, 6.037783, 0.8267218, -2.351763, 5.079051, 0.9982904
4.297678, -1.54492, 0.7780457, 4.371413, -0.04031311, 0.49136, -0.3543959, 1.5361, 2.391009, 0.3471663, 0.5213859, 0.3113925, 7.999306, 0.01795457, -2.385284, 4.98074, -0.7050922
4.397624, 0.1212289, 1.518049, 1.787336, -0.8010962, -0.7648267, -0.4629826, 0.05294409, 0.03329735, 1.006766, -0.5033997, 0.04798646, 7.746156, 0.6550295, -0.5295273, 3.81328, 0.9614688
4.49757, -2.467097, 3.036783, 1.178686, 0.5183922, -0.737133, 1.858684, 1.350689, 3.938283, -0.3797781, 2.575461, -1.693751, 6.991874, -0.4147147, -2.592947, 3.797849, 0.1137143
4.597516, -2.132261, 2.220139, 1.777387, -1.037245, -1.328318, -0.3637824, 0.8250924, 4.18582, 1.086219, 0.3324985, -0.9194255, 6.128267, 0.734773, -2.140822, 3.164727, -1.065715
4.697462, 0.8024089, 2.160861, 1.51833, 0.6422509, 0.9090667, -0.2276243, 0.9449171, 4.476102, 0.8901796, 2.689986, -0.01434443, 7.111631, 0.861268, -1.371485, 4.338994, -1.527868
4.797408, -1.320664, 2.534422, -0.5918823, -0.3175413, -1.097166, -0.2876413, 1.062979, 5.832334, 1.366536, 0.2086471, -1.087628, 6.139772, 0.1822563, -1.980422, 5.149603, 1.430811
4.897354, 0.0009359413, 1.328564, 1.032375, 0.9004706, -0.2339497, 1.2607, 1.081797, 9.549161, 2.942369, 0.1410052, -0.2151829, 7.202684, 1.528397, -0.7619617, 3.899806, -1.357778
4.9973, 0.1342606, 3.13571, 3.137651, -0.724845, -0.5987037, 0.9102337, 1.135618, 10.34343, 0.2433569, -0.8145298, -0.132547, 4.634029, 2.014518, -2.558866, 6.355361, -0.0516049
5.097246, 0.06669856, 1.527037, 1.88878, 0.521575, 0.09777249, 1.212185, -0.2495239, 12.0543, 1.745013, 2.492817, 0.616062, 7.045802, 0.2884578, -1.694434, 7.023171, -1.409963
5.197192, -1.058675, 0.68274, 0.2285601, -0.9494876, -0.03329138, 0.4008383, 0.4826088, 13.79185, 1.390199, 1.442909, -0.21907, 6.813203, 0.3470533, -0.2095446, 13.50102, -0.5652467
5.297138, 0.9941129, 0.8879144, 0.8704643, 0.3640134, 0.1672037, 0.6323327, 0.9497216, 15.00692, 4.069564, -1.174671, -0.4981161, 7.220367, -0.2739545, -1.011886, 17.43225, -2.208911
5.397084, -0.0384144, 1.007979, 1.473855, -2.13814, -1.333961, 0.1540608, 3.094159, 20.92633, 3.43995, 0.4070166, -1.204231, 6.495935, 2.11683, -0.0941391, 21.23585, -0.391096
5.49703, -0.7312465, 1.110889, 1.065369, -1.087733, -2.334125, 0.1928886, 4.644087, 19.87277, 2.369919, -0.9233008, -0.3381216, 7.153862, 0.6497421, -1.668759, 19.65939, -1.039057
5.596976, 0.9311491, 2.017466, 1.159112, -0.1844786, -0.7886893, -0.4763569, 5.390519, 22.368, 2.899936, 1.103696, 1.36371, 6.031411, 1.270852, -0.5139679, 18.28158, -0.5123881
5.696922, -0.4554492, 1.368412, -0.5636862, -1.665733, -0.6385598, 1.839541, 3.963041, 26.43939, 3.467375, -0.5769871, -0.20749, 7.806154, 1.479193, -1.913705, 15.58166, -2.510165
5.796868, -0.8804321, 2.157481, 0.965521, -0.514798, -0.09946775, 1.783201, 2.866487, 26.77249, 2.555502, 0.7639651, -0.7330182, 6.49703, 2.282819, -0.6335244, 15.57437, 1.349142
5.896814, -0.5466192, 0.5752897, 1.476335, -0.3451183, -0.1712379, 0.02797997, 3.448054, 24.80528, 3.966026, 1.401201, -1.008549, 4.854344, 0.686062, -0.8108934, 13.03212, -0.008061545
5.99676, 0.4914521, 2.562268, 1.132472, 0.4646685, 1.341586, -0.5117661, 2.326607, 25.55207, 2.89571, 0.8703583, -0.8473239, 6.883675, -2.023799, -2.939291, 13.26955, -1.468809
6.096706, -0.8557805, 0.8213807, -0.05339647, -0.5525103, 0.7015659, 0.3571446, 0.9597577, 23.33273, 2.575811, 0.2567164, -0.1420385, 5.431387, 1.106597, -1.249038, 14.29366, -2.621004
6.196652, 2.052774, 0.5072101, 2.186361, -0.8693997, -1.445263, -1.585039, 2.561524, 22.26789, 2.145334, -0.9506721, 0.42606, 5.768273, 1.350019, -0.4202494, 10.12335, -1.318705
6.296598, 3.123978, 1.351552, -0.5081891, -1.394736, -0.9812581, 0.9652242, 2.573957, 22.35592, 2.463869, 2.321662, -0.9631942, 7.210327, -0.517185, -1.315033, 9.97291, -0.3485545
6.396544, 0.9850677, 1.072518, -0.4074745, 1.899544, -0.3348299, 0.5321912, 2.84717, 20.94606, 1.322783, 2.543798, 1.606258, 4.199836, 0.7445465, -1.309444, 11.1888, -0.3564368
6.49649, 2.863642, -0.6658396, 0.6561641, 0.9461353, -0.2993577, -0.2670931, 1.954165, 20.80956, 1.550395, 2.357916, -0.4507303, 6.545004, -0.9772584, -1.042748, 10.71822, -0.9661856
6.596436, 2.056689, -1.151756, 1.108069, 0.4795334, -0.4685854, 1.276597, 1.581521, 18.96023, 1.957249, 0.8089093, -0.3919286, 3.532731, -1.144619, -1.466635, 10.27019, -0.4860825
