 , C00, C01, C02, C03, C05, C06, C07, C08, C09, C10, C13, C15, C18, C21, C22, C25, C26, C27, C28, C29, C30
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
62.57663063657206, 0.00134651, 17.30463, 1.11659, 0.006473958, 0.02037407, 1.688832, 0.002744433, 0.1176169, 0.003760094, 77.56606, 61.89602, 0.04376125, 0.5821972, 0, 0.2870306, 0.001327617, 0.08578466, 0.6189192, 0.02952288, 0.1117085, 0.1153365
62.67659330532058, 0.001262294, 17.88351, 1.009013, 0.006002065, 0.01925347, 1.567589, 0.002470189, 0.1070193, 0.003269115, 74.58673, 61.08688, 0.04085921, 0.5365625, 0, 0.2645849, 0.001164215, 0.07715091, 0.5413644, 0.02502063, 0.1057115, 0.1068048
62.7765559740691, 0.001183345, 16.98345, 0.9118009, 0.005564569, 0.01819451, 1.45505, 0.002223351, 0.09737647, 0.002842247, 73.03413, 61.99256, 0.03814962, 0.4945048, 0, 0.2438944, 0.001020925, 0.0693861, 2.001903, 0.02120498, 0.1000364, 0.09890419
62.87651864281762, 0.001109334, 16.66338, 0.8239543, 0.005158962, 0.01719379, 1.35059, 0.002001178, 0.08860254, 0.002471118, 69.39413, 59.40458, 0.03561972, 0.4557438, 0, 0.2248219, 0.0008952707, 0.06240278, 4.325343, 0.01797122, 0.09466597, 0.09158801
62.97648131156613, 0.001039952, 16.40211, 0.7445712, 0.2424992, 0.01624812, 1.253629, 0.001801206, 0.08061916, 0.002148449, 67.96274, 56.38509, 0.03325759, 0.4200209, 0, 0.2072409, 0.0007850818, 0.05612229, 4.454821, 0.1170391, 0.08958386, 0.08481301
63.07644398031465, 0.0009749096, 15.57661, 0.6728362, 0.2248231, 0.01535445, 1.16363, 0.001621217, 0.07335511, 0.001867913, 66.02931, 53.51908, 0.0310521, 0.3870982, 0, 0.1910347, 0.0006884549, 0.05047389, 3.896602, 0.7765443, 0.08477458, 0.07853919
63.17640664906317, 0.000913935, 15.42573, 0.6862257, 0.2084356, 0.01450994, 1.080091, 0.001459213, 0.06674557, 0.001624009, 64.86023, 52.16111, 0.02899287, 0.3567561, 0, 0.1760959, 0.0006037207, 0.04539398, 3.408332, 1.226858, 0.08022348, 0.07272945
63.27636931781169, 0.000856774, 15.3278, 0.6201119, 0.1932425, 0.01371188, 1.00255, 0.001313398, 0.06073158, 0.001411952, 61.79576, 50.78711, 0.0270702, 0.3287922, 0, 0.1623252, 0.0005294154, 0.04082533, 2.981245, 1.039762, 0.07591671, 0.06734947
63.3763319865602, 0.000803188, 14.93964, 0.5603678, 0.1791569, 0.01295771, 0.930576, 0.001182154, 0.05525947, 0.001227585, 60.82576, 49.29109, 0.02527503, 0.3030203, 0, 0.1496314, 0.0004642556, 0.03671649, 2.607675, 0.8811977, 0.07184114, 0.06236747
63.47629465530872, 0.0007529535, 14.20998, 0.5063797, 0.1660979, 0.04310758, 0.8637688, 0.001064025, 0.05028041, 0.001067292, 59.18775, 49.25285, 0.02359891, 0.2792685, 0, 0.1379303, 0.0004071156, 0.03302118, 2.280916, 0.7468148, 0.06798437, 0.05775399
63.57625732405724, 0.0007058609, 13.49481, 0.457593, 0.1539909, 0.04073662, 0.8017578, 0.0009577002, 0.04574998, 0.0009279292, 58.23761, 46.74937, 0.02203394, 0.2573784, 0, 0.1271442, 0.0003570082, 0.02969778, 1.995102, 0.6329255, 0.06433465, 0.05348179
63.67621999280576, 0.0006617137, 12.81563, 0.4135066, 0.1427663, 0.03849606, 0.7441986, 0.000862, 0.04162775, 0.0008067639, 55.80066, 44.37313, 0.02057275, 0.2372042, 0, 0.1172015, 0.0003130681, 0.02670887, 1.745102, 0.5364042, 0.06088087, 0.04952561
63.77618266155427, 0.0006203275, 14.77797, 0.3736677, 0.13236, 0.5874632, 0.6907717, 0.0007758629, 0.03787696, 0.00070142, 53.24591, 44.58579, 0.01920846, 0.2186113, 0, 0.1080364, 0.0002745361, 0.02402077, 1.526429, 0.4546025, 0.05761249, 0.04586207
63.87614533030279, 0.0005815299, 14.03421, 0.337667, 0.1227121, 0.5551521, 0.6411803, 0.0006983332, 0.03446412, 0.0006098313, 50.57996, 45.58596, 0.01793465, 0.2014758, 0, 0.5424545, 0.0002407465, 0.02160321, 1.335157, 0.3852755, 0.05451958, 0.04246954
63.97610799905131, 0.0005451587, 13.32788, 0.3051348, 0.1137675, 0.5246182, 0.5951492, 0.0006285508, 0.3221799, 0.0005302019, 50.73032, 45.14788, 0.01674531, 0.1856834, 0, 0.5000347, 0.0002111157, 0.01942897, 1.167853, 0.3265209, 0.05159272, 0.03932796
64.07607066779983, 0.0005110624, 13.04882, 0.2757369, 0.1054749, 0.4957637, 0.5524227, 0.0005657416, 0.2931504, 0.0004609703, 49.59317, 42.85305, 0.01563484, 0.1711288, 0, 0.4609322, 0.0001851318, 0.01747355, 2.280129, 0.2767264, 0.04882298, 0.03641878
64.17603333654834, 0.0004790986, 12.39208, 0.2491713, 0.09778671, 0.4684961, 0.5127636, 0.0005092087, 0.2667366, 0.3290342, 47.69693, 40.67486, 0.01459801, 0.1577152, 0, 0.5506111, 0.000162346, 0.01571494, 1.994413, 0.2345256, 0.04620193, 0.03372479
64.27599600529686, 0.0004491339, 12.33188, 0.2251651, 0.09065894, 0.4427284, 0.4759517, 0.0004583249, 0.2427028, 0.2860702, 47.09222, 40.50501, 0.01362994, 0.1453529, 0, 0.5075535, 0.0001423646, 0.01413332, 1.7445, 0.1987604, 0.04372159, 0.03123008
64.37595867404538, 0.0004210433, 11.71122, 0.2034718, 0.08405072, 0.4183778, 0.4417825, 0.0004125258, 0.3549293, 0.2487163, 45.72169, 38.58325, 0.01272606, 0.1339596, 0, 0.4678629, 0.0001248426, 0.01271088, 1.525903, 0.1684494, 0.04137441, 0.02891992
64.4759213427939, 0.0003947096, 11.34119, 0.1838685, 0.07792418, 0.3953666, 0.4100664, 0.0003713034, 0.322949, 0.2162399, 44.51026, 37.47131, 0.01188213, 0.1234594, 0, 0.4312761, 0.0001094771, 0.0114316, 1.334697, 0.1427608, 0.03915324, 0.02678064
64.57588401154241, 0.000370023, 11.63028, 0.1661539, 0.07224421, 0.3736211, 0.3806272, 0.0003342001, 0.2938503, 0.1880042, 43.16312, 35.93164, 0.01109416, 0.1137822, 0, 0.3975505, 0.4280437, 0.01028107, 1.16745, 0.1209897, 0.03705131, 0.02479961
64.67584668029093, 0.0003468803, 11.04494, 0.1501459, 0.06697826, 0.3530715, 0.3533016, 0.0003008045, 0.2673734, 0.1634553, 41.002, 38.41748, 0.01035845, 0.1048635, 0, 0.3664621, 0.3753605, 0.00924634, 1.986346, 0.1025388, 0.03506222, 0.02296512
64.77580934903945, 0.0003251851, 11.11783, 1.306246, 0.06209615, 0.3336523, 0.3279376, 0.0002707459, 0.2432822, 0.142112, 39.85778, 36.46475, 0.009671527, 0.09664396, 0, 1.59356, 0.3291616, 0.008315748, 1.737443, 0.0869016, 0.03317991, 0.02126634
64.87577201778797, 0.0003048467, 10.55828, 5.368592, 0.0575699, 0.315301, 0.3043946, 0.0002436911, 0.2213617, 0.1235556, 38.02036, 34.61127, 0.009030157, 0.08906867, 0, 1.468944, 0.2886488, 0.007478814, 1.51973, 0.07364909, 0.03139866, 0.01969321
64.97573468653648, 0.0002857804, 10.62218, 8.842544, 0.05337357, 0.2979591, 0.2825417, 0.0002193398, 0.5011833, 0.1074222, 37.90545, 33.2979, 0.008431319, 0.08208714, 0, 1.354073, 0.2531222, 0.006726113, 1.329297, 0.06241759, 0.02971303, 0.01823646
65.075697355285, 0.0002679066, 11.05876, 7.990617, 0.04948312, 0.2815711, 0.2622577, 0.0001974218, 0.4560251, 0.09339542, 37.68504, 33.77673, 0.007872194, 0.07565286, 0, 1.248185, 0.2219682, 0.006049167, 1.162727, 0.05289889, 0.02811789, 0.01688746
65.17566002403352, 0.0002511507, 11.87078, 7.220769, 0.04587625, 0.2660844, 0.2434299, 0.000177694, 0.4149357, 0.08120022, 35.80474, 32.71101, 0.007350147, 0.06972292, 0, 1.150577, 0.1946487, 0.2536934, 1.01703, 0.0448318, 0.02660839, 0.01563825
65.27562269278204, 0.0002354428, 11.84713, 6.525091, 0.04253228, 0.2514495, 0.2259538, 0.0001599376, 0.3775486, 0.07059742, 35.59232, 31.48479, 0.00686272, 0.06425779, 0, 1.301365, 0.1706915, 0.2281606, 0.8895892, 0.03799494, 0.02517993, 0.01448145
65.37558536153055, 0.0002207173, 11.25087, 5.896437, 0.03943206, 0.2376195, 0.2097323, 0.0001439555, 0.3435303, 0.06137909, 34.82397, 32.23327, 0.006407617, 0.05922104, 0, 1.199599, 0.149683, 0.7960328, 0.7781177, 0.03220071, 0.02382815, 0.01341022
65.47554803027907, 0.0002069127, 10.68462, 5.328351, 0.03655782, 0.2245502, 0.1946753, 0.0001295704, 0.3125771, 0.05336445, 33.08038, 30.59488, 0.005982694, 0.05457908, 0, 1.105791, 0.1312602, 0.7159165, 0.6806143, 0.02729009, 0.02254894, 0.01241824
65.57551069902759, 0.0001939716, 10.14688, 4.814996, 0.03389308, 0.2121997, 0.1806994, 0.0001166228, 0.2844129, 0.04639633, 32.47414, 29.03976, 0.00558595, 0.05030098, 0, 1.019318, 0.1151048, 0.6438635, 0.5953287, 0.02312835, 0.02133841, 0.01149963
