Time (s), Cell Name, Value
1.599403, C00, 3.910603
1.699366, C00, 2.765427
10.795973, C00, 4.366527
10.895936, C00, 4.828774
10.995898, C00, 2.783981
20.792244, C00, 3.169774
26.989933, C00, 5.528078
27.189858, C00, 3.335929
27.289821, C00, 6.383836
41.684451, C00, 5.645562
43.983594, C00, 7.067331
58.478187, C00, 3.053048
58.57815, C00, 4.380916
58.678113, C00, 3.78802
58.778075, C00, 3.998941
61.377106, C00, 6.687615
61.477069, C00, 3.515839
67.77472, C00, 4.121206
67.87468200000001, C00, 4.236328
67.974645, C00, 5.817064
68.074608, C00, 5.449046
68.174571, C00, 6.082224
68.27453300000001, C00, 6.332098
68.37449599999999, C00, 4.425007
75.771737, C00, 4.913777
75.87169900000001, C00, 2.508705
78.770618, C00, 2.978638
86.56771000000001, C00, 4.876944
86.66767299999999, C00, 4.709339
86.767635, C00, 2.852206
109.559134, C00, 3.302658
115.556897, C00, 3.258953
115.656859, C00, 3.462883
115.756822, C00, 2.636548
116.456561, C00, 2.793898
122.554287, C00, 2.941802
122.654249, C00, 4.45167
125.953019, C00, 4.606487
126.052982, C00, 3.969201
126.152944, C00, 4.360658
133.250297, C00, 4.912138
133.35026, C00, 4.381067
133.450222, C00, 4.311082
133.550185, C00, 6.540918
133.650148, C00, 5.822212
133.750111, C00, 5.007061
133.950036, C00, 3.016693
134.149961, C00, 3.851252
141.347277, C00, 3.294353
141.447239, C00, 3.768981
141.547202, C00, 6.770483
141.647165, C00, 4.460662
141.747128, C00, 4.800765
145.845599, C00, 5.374254
145.945562, C00, 6.557711
146.045524, C00, 5.659495
146.145487, C00, 4.665752
146.24545, C00, 2.691439
147.544965, C00, 7.235404
147.644928, C00, 3.358664
179.533033, C00, 2.926267
179.632996, C00, 4.051348
179.732959, C00, 3.98181
179.832921, C00, 3.620042
179.932884, C00, 2.774392
186.230535, C00, 2.530704
186.330498, C00, 4.29562
186.43046, C00, 3.810247
186.630386, C00, 5.530949
186.730349, C00, 5.54435
186.830311, C00, 6.080616
199.925427, C00, 4.359508
200.02539, C00, 3.003138
200.125352, C00, 4.817572
200.225315, C00, 4.035279
200.325278, C00, 4.790092
220.417783, C00, 3.802773
220.517746, C00, 3.479111
220.617708, C00, 2.962121
220.717671, C00, 5.042239
