 , C00, C01, C07, C08, C09, C10, C11, C13, C16, C19, C20, C23, C30, C33
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
365.0623009224116, 0.9059163, 0.4877552, 0.9444104, 1.282315, 2.436376, 3.095407, 0.9408944, 0.179947, 2.790077e-06, 0.009358293, 1.293984, 1.587237, 0.01033043, 0.8088726
365.1622632172973, 0.8586911, 0.4558116, 0.897101, 1.226667, 2.294029, 2.94056, 0.8972253, 0.164008, 2.655585e-06, 0.00881568, 1.233, 1.504818, 0.009608326, 0.7378966
365.262225512183, 1.076703, 0.4259601, 0.8521615, 1.173434, 2.159997, 2.79346, 0.855583, 0.1494808, 2.527577e-06, 0.008304528, 1.17489, 1.726691, 0.008936699, 0.6731485
365.3621878070686, 1.020575, 0.3980635, 0.8094732, 1.261836, 2.033798, 2.653718, 0.8158733, 0.1362404, 2.405739e-06, 0.007823014, 1.119519, 1.613173, 0.008312019, 0.6140819
365.4621501019543, 0.9673724, 0.3719939, 0.7689233, 1.207077, 1.914971, 2.520966, 0.7780067, 0.1241728, 2.289774e-06, 0.007369419, 1.595315, 1.507119, 0.007731004, 0.5601981
365.5621123968399, 0.9169436, 0.3476317, 0.7304047, 1.154694, 1.803087, 2.394856, 0.7418976, 0.1131741, 2.179399e-06, 0.006942124, 1.520129, 1.408036, 0.007190603, 0.5110425
365.6620746917256, 0.8691435, 0.3248649, 0.7082109, 1.104584, 1.697739, 2.431282, 0.7074644, 0.1031496, 2.074344e-06, 0.006539605, 1.448487, 1.315468, 0.006687976, 0.4662001
365.7620369866112, 0.8238353, 0.3035892, 0.6727337, 1.056649, 1.598547, 2.309658, 0.6746293, 0.09401298, 1.974354e-06, 0.006160424, 1.415286, 1.228985, 0.006220483, 0.4252925
365.8619992814969, 0.780889, 0.2837068, 0.6390337, 1.010794, 1.505151, 2.194118, 0.6433182, 0.08568568, 1.879183e-06, 0.005803229, 1.673887, 1.148188, 0.005785668, 0.3879744
365.9619615763825, 0.7401814, 0.2651266, 0.9305579, 0.9669288, 1.417211, 2.342202, 0.6134602, 0.07809598, 1.7886e-06, 0.005466746, 1.594999, 1.072703, 0.005381247, 0.3539309
