 , C00, C01, C02, C05, C06, C07, C08, C11, C15, C16, C20
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2026.406912792777, 4.056918e-05, 6.668821, 0.004904627, 0.3983961, 0.01613181, 0.3023939, 1.308436, 3.236992e-06, 5.057084, 1.172261, 2.145983
2026.506836806572, 3.840349e-05, 5.93601, 0.004603419, 0.3800883, 0.01489043, 0.2858668, 1.22529, 3.03045e-06, 4.670153, 1.083432, 1.915688
2026.606760820366, 3.635342e-05, 5.283725, 0.00432071, 0.3626217, 0.01374458, 0.270243, 1.147429, 2.837086e-06, 5.360918, 1.001334, 1.710107
2026.70668483416, 3.441278e-05, 4.703117, 0.004055363, 0.3459578, 0.0126869, 0.2554732, 1.074514, 2.656061e-06, 4.95074, 0.9254573, 1.526587
2026.806608847954, 3.257574e-05, 4.6793, 0.003806312, 0.3300597, 0.01171061, 0.2415105, 1.006234, 2.486586e-06, 4.571946, 0.85533, 1.362762
2026.906532861748, 3.083677e-05, 4.16511, 0.003572555, 0.3148922, 0.01080945, 0.228311, 0.9422917, 2.327925e-06, 5.815247, 0.7905167, 1.216518
2027.006456875542, 2.919062e-05, 3.829272, 0.003353154, 0.3004217, 0.009977639, 0.2158329, 0.8824131, 2.179387e-06, 16.13303, 0.7306147, 1.085968
2027.106380889337, 2.763236e-05, 3.408488, 0.003147227, 0.2866161, 0.009209836, 0.2040367, 0.8263396, 2.040328e-06, 21.18598, 0.6752518, 0.969428
2027.206304903131, 2.615727e-05, 3.033943, 0.002953947, 0.273445, 0.008501117, 0.1928853, 0.7738293, 1.910141e-06, 30.22401, 0.6240841, 0.8653943
2027.306228916925, 2.476093e-05, 2.700555, 0.002772537, 0.2608791, 0.007846936, 0.1823433, 0.7246557, 1.788261e-06, 35.62082, 0.5767936, 0.7725249
2027.406152930719, 2.343913e-05, 2.403801, 0.002602267, 0.2488907, 0.007243095, 0.1723775, 0.678607, 1.674157e-06, 32.89537, 0.5330866, 1.711977
