Time (s), Cell Name, Value
25.29062, C00, 4.895934
25.390583, C00, 2.907764
25.490546, C00, 7.825898
25.590509, C00, 5.696787
25.690472, C00, 5.596819
25.790435, C00, 6.57309
25.890398, C00, 8.092052
25.990361, C00, 8.109058
26.090324, C00, 9.583591
26.190287, C00, 8.665577
26.29025, C00, 8.404392
26.390212, C00, 4.672707
48.981834, C00, 5.48456
49.081797, C00, 3.767221
90.666374, C00, 5.411522
90.76633699999999, C00, 5.966303
90.8663, C00, 5.593392
90.966263, C00, 5.722629
91.066226, C00, 6.946306
91.16618800000001, C00, 10.42165
91.26615099999999, C00, 4.894382
91.366114, C00, 6.601254
91.466077, C00, 11.57939
91.56604, C00, 6.35347
91.666003, C00, 2.6273
133.750395, C00, 3.467555
133.850358, C00, 6.714931
133.950321, C00, 3.250183
134.050284, C00, 8.660101
134.150247, C00, 5.044462
134.25021, C00, 9.918871
134.350172, C00, 6.441883
134.450135, C00, 11.00984
134.550098, C00, 7.323593
134.650061, C00, 6.999874
134.750024, C00, 8.367004
134.849987, C00, 8.273388
134.94995, C00, 10.02504
135.049913, C00, 9.608833
135.149876, C00, 6.638046
135.249839, C00, 8.147278
135.349802, C00, 9.313896
135.449765, C00, 7.965515
157.041757, C00, 7.932865
157.14172, C00, 2.862548
157.241683, C00, 6.704563
168.937345, C00, 5.449013
169.037308, C00, 5.080355
169.137271, C00, 4.574945
186.930672, C00, 6.156636
187.030634, C00, 3.004951
187.130597, C00, 8.322144
187.23056, C00, 6.337755
187.330523, C00, 4.91399
187.430486, C00, 7.171421
187.530449, C00, 9.058788
187.630412, C00, 8.613091
187.730375, C00, 10.1201
187.830338, C00, 5.745892
187.930301, C00, 9.486168
188.030264, C00, 7.743652
188.130227, C00, 5.996876
188.23019, C00, 9.549984
188.330152, C00, 8.269272
188.430115, C00, 8.245651
188.530078, C00, 4.864647
188.829967, C00, 3.017578
218.918808, C00, 4.860636
219.018771, C00, 3.98848
219.118734, C00, 6.389448
219.218697, C00, 6.057842
219.31866, C00, 4.39505
219.418622, C00, 7.402977
219.518585, C00, 6.231997
219.618548, C00, 8.634714
219.718511, C00, 7.322941
219.818474, C00, 7.334602
219.918437, C00, 8.839211
220.0184, C00, 7.354221
251.406759, C00, 4.904202
251.506722, C00, 4.73626
251.606685, C00, 6.886806
251.706648, C00, 4.269756
251.80661, C00, 6.517677
251.906573, C00, 5.841709
252.006536, C00, 6.63826
272.29901, C00, 6.010268
272.398973, C00, 5.817864
272.498936, C00, 4.30842
272.598899, C00, 4.127801
281.295674, C00, 3.462367
281.395637, C00, 4.987115
281.495599, C00, 6.20516
281.595562, C00, 6.129526
281.695525, C00, 6.076374
281.795488, C00, 6.458803
281.895451, C00, 8.481174
281.995414, C00, 8.016468
282.095377, C00, 6.048603
291.691818, C00, 3.908643
291.791781, C00, 6.093388
291.891744, C00, 3.937691
291.991707, C00, 7.633876
292.09167, C00, 8.161768
292.191633, C00, 6.13512
292.291595, C00, 8.550697
292.391558, C00, 5.492714
292.491521, C00, 8.298603
292.591484, C00, 9.511135
292.691447, C00, 7.622387
292.79141, C00, 6.041973
292.891373, C00, 8.465889
292.991336, C00, 7.653469
293.091299, C00, 7.011372
293.191262, C00, 9.736916
293.491151, C00, 2.55365
346.371538, C00, 5.020784
346.471501, C00, 3.566438
346.571464, C00, 4.193354
346.671427, C00, 4.607244
361.066088, C00, 5.593066
361.166051, C00, 3.707145
361.266014, C00, 4.130918
368.763234, C00, 6.397878
368.863197, C00, 3.396585
368.96316, C00, 4.939099
369.063123, C00, 7.988135
369.163086, C00, 6.218716
369.263048, C00, 5.989288
369.363011, C00, 8.15485
369.462974, C00, 6.521774
369.562937, C00, 4.685474
386.256746, C00, 3.236889
386.356709, C00, 3.171261
386.456672, C00, 4.840681
386.556635, C00, 7.845069
386.656598, C00, 4.27774
386.75656, C00, 6.174772
386.856523, C00, 7.288004
403.250443, C00, 5.990699
403.350406, C00, 3.954247
403.450369, C00, 7.126496
403.550332, C00, 4.301182
403.650295, C00, 6.186243
403.750258, C00, 6.294115
421.143807, C00, 4.396729
421.24377, C00, 2.608487
421.343733, C00, 6.017184
421.443696, C00, 6.543762
421.543659, C00, 4.700695
421.643622, C00, 7.164021
421.743585, C00, 9.265661
421.843547, C00, 4.884342
421.94351, C00, 4.888874
444.934983, C00, 3.784461
445.034946, C00, 4.574162
445.134909, C00, 6.409548
445.234872, C00, 6.557001
445.334835, C00, 5.221361
445.434798, C00, 5.116501
445.534761, C00, 7.610571
445.634724, C00, 7.81846
445.734687, C00, 8.447582
445.83465, C00, 7.400032
445.934613, C00, 2.947899
459.129719, C00, 4.088555
459.229682, C00, 5.376552
459.329645, C00, 5.01891
459.429608, C00, 6.198044
459.529571, C00, 3.814322
459.629533, C00, 7.556208
459.729496, C00, 9.282759
459.829459, C00, 8.594772
459.929422, C00, 4.644344
460.029385, C00, 3.663372
476.723194, C00, 4.152462
476.823157, C00, 5.739957
476.92312, C00, 4.90958
477.023083, C00, 6.252052
477.123046, C00, 5.188774
477.223008, C00, 5.553259
477.322971, C00, 7.853514
477.422934, C00, 5.882921
477.522897, C00, 6.819336
523.40588, C00, 4.402076
523.505843, C00, 2.994312
523.605806, C00, 4.646305
523.705769, C00, 5.467619
523.805732, C00, 7.384281
523.905695, C00, 5.379988
539.699837, C00, 3.137131
539.7998, C00, 4.379053
539.899763, C00, 4.893684
539.999726, C00, 5.374166
540.099689, C00, 6.566177
540.199652, C00, 7.408718
540.299615, C00, 8.231491
540.399578, C00, 6.692719
571.5880110000001, C00, 4.282054
571.6879730000001, C00, 2.64649
571.7879359999999, C00, 6.268716
571.8878989999999, C00, 4.626519
571.987862, C00, 3.122288
585.182968, C00, 2.607089
585.282931, C00, 4.711613
585.382894, C00, 3.39308
585.482857, C00, 7.451201
585.58282, C00, 4.699211
585.682783, C00, 7.642946
585.782746, C00, 6.093204
585.882709, C00, 7.0469
585.982672, C00, 6.229313
602.376592, C00, 5.232099
602.476555, C00, 4.576382
602.576518, C00, 4.826632
602.676481, C00, 7.346874
602.776443, C00, 7.942877
602.876406, C00, 3.384287
602.976369, C00, 9.101027
603.076332, C00, 7.310081
603.176295, C00, 6.561947
603.276258, C00, 8.960999
619.0703999999999, C00, 3.028903
619.170363, C00, 3.819213
619.270326, C00, 4.32683
619.370289, C00, 2.591452
625.468028, C00, 2.533829
625.567991, C00, 6.463595
625.667953, C00, 3.756303
625.767916, C00, 6.335844
625.867879, C00, 5.412672
625.967842, C00, 7.85528
626.067805, C00, 4.749954
652.058166, C00, 3.933088
652.158129, C00, 5.574534
652.258092, C00, 5.310137
652.358055, C00, 4.425254
652.458018, C00, 6.383318
652.557981, C00, 6.972178
652.657943, C00, 3.791758
674.6497869999999, C00, 3.904904
674.7497499999999, C00, 3.603386
674.849713, C00, 5.336696
674.949676, C00, 4.945815
688.344708, C00, 3.105045
688.444671, C00, 5.002698
688.544634, C00, 5.686399
688.644597, C00, 6.929569
688.74456, C00, 3.743528
688.844523, C00, 5.383965
716.334327, C00, 4.299528
716.534253, C00, 6.064414
716.634216, C00, 6.942337
716.734179, C00, 5.390175
726.630509, C00, 4.422448
726.730472, C00, 4.945665
726.830435, C00, 3.601384
735.927061, C00, 4.107626
736.027024, C00, 6.377586
736.126987, C00, 5.385502
736.22695, C00, 5.20374
736.326912, C00, 6.884663
736.426875, C00, 7.86935
736.526838, C00, 6.796494
736.626801, C00, 8.159786
736.726764, C00, 7.495327
736.826727, C00, 7.521324
736.92669, C00, 7.713036
737.026653, C00, 10.05114
737.126616, C00, 4.629223
737.226579, C00, 6.094402
776.312083, C00, 5.706397
776.412046, C00, 3.341703
776.512009, C00, 2.943345
776.611972, C00, 5.266974
782.309858, C00, 3.906023
782.409821, C00, 4.667494
782.509784, C00, 6.709582
782.609747, C00, 5.615376
782.70971, C00, 7.376291
782.809673, C00, 6.998026
782.909636, C00, 6.179234
783.009599, C00, 6.889431
783.109562, C00, 6.293781
783.209525, C00, 6.459843
804.601591, C00, 4.168541
804.701554, C00, 3.225395
816.597142, C00, 3.249379
816.697105, C00, 3.926296
816.797068, C00, 6.454597
816.897031, C00, 3.260798
841.4879110000001, C00, 2.812445
841.5878729999999, C00, 3.497733
841.7877989999999, C00, 6.201583
841.887762, C00, 4.577657
841.987725, C00, 7.682718
842.087688, C00, 7.016062
842.187651, C00, 4.281738
851.38424, C00, 5.470551
851.484203, C00, 3.897812
851.584166, C00, 5.436003
851.684129, C00, 5.69453
851.784092, C00, 6.33408
867.878123, C00, 3.550959
867.978086, C00, 3.102697
868.078049, C00, 5.491844
868.178012, C00, 5.238732
868.277975, C00, 4.867585
868.377938, C00, 9.350435
868.477901, C00, 4.900311
868.577864, C00, 7.649942
868.677826, C00, 6.317425
868.777789, C00, 6.505447
868.877752, C00, 8.918961
907.76333, C00, 3.576216
907.863293, C00, 4.124586
919.458993, C00, 4.678613
919.558956, C00, 5.398438
919.658919, C00, 4.272392
919.758882, C00, 4.959255
919.858845, C00, 7.915459
919.958807, C00, 5.672544
920.05877, C00, 5.96003
920.158733, C00, 9.194515
920.258696, C00, 8.272476
920.358659, C00, 7.108372
920.458622, C00, 8.12426
920.558585, C00, 9.105938
920.658548, C00, 6.845734
920.758511, C00, 8.165897
920.858474, C00, 5.485916
920.958437, C00, 8.580238
921.358288, C00, 3.313507
923.557473, C00, 2.898146
940.851059, C00, 4.172761
940.951022, C00, 3.466948
941.050985, C00, 4.525853
968.540789, C00, 3.295273
968.640752, C00, 4.030756
968.740715, C00, 3.106223
992.232003, C00, 3.610693
992.331966, C00, 6.372936
992.531892, C00, 6.65167
992.631855, C00, 5.133839
992.731818, C00, 6.805876
992.83178, C00, 6.51404
992.931743, C00, 4.897141
993.031706, C00, 9.217705
993.131669, C00, 2.978519
1009.125737, C00, 5.241653
1009.2257, C00, 3.197938
1009.325663, C00, 5.795564
1009.425626, C00, 6.062586
1022.720695, C00, 4.949283
1028.118693, C00, 6.323131
1028.218656, C00, 3.377744
1028.318619, C00, 5.140716
1028.418582, C00, 5.466118
1028.518545, C00, 5.556034
1028.618508, C00, 6.786572
1028.718471, C00, 3.982864
1058.807312, C00, 4.510074
1058.907274, C00, 3.698751
1059.007237, C00, 3.829757
1059.1072, C00, 8.418314
1059.207163, C00, 6.955214
1059.307126, C00, 5.246685
1059.407089, C00, 5.273531
1059.507052, C00, 3.085791
1089.395967, C00, 5.461552
1089.49593, C00, 5.415885
1089.595893, C00, 3.721039
1089.695856, C00, 5.868496
1089.795819, C00, 5.08844
1089.895782, C00, 7.225632
1089.995744, C00, 4.946415
1121.384103, C00, 3.164959
1121.484066, C00, 4.395003
1130.080878, C00, 6.110008
1130.180841, C00, 4.164513
1130.280804, C00, 4.186842
1130.380767, C00, 6.33413
1130.480729, C00, 7.448315
1130.580692, C00, 3.561413
1150.173426, C00, 4.815801
1150.273389, C00, 4.745094
1168.366678, C00, 2.904499
1190.658411, C00, 5.213105
1190.758374, C00, 2.556635
53.380202, C01, 2.724866
188.92993, C01, 11.94602
189.029893, C01, 9.968702
198.126519, C01, 9.431158
198.226482, C01, 9.476839
243.909539, C01, 4.796061
286.193857, C01, 4.087055
286.29382, C01, 13.30952
286.393783, C01, 8.22303
320.381178, C01, 2.984463
320.481141, C01, 10.23898
403.15048, C01, 2.698842
403.250443, C01, 13.21953
403.350406, C01, 11.25802
449.93313, C01, 6.485327
450.033093, C01, 13.30559
450.133056, C01, 6.805495
553.79461, C01, 12.4753
553.894573, C01, 5.565636
694.542409, C01, 8.518248
694.642372, C01, 9.030838
719.433178, C01, 4.563212
719.533141, C01, 13.91723
719.633104, C01, 2.973176
727.630138, C01, 11.52875
727.730101, C01, 9.35507
746.723057, C01, 11.91009
746.82302, C01, 6.685999
828.992545, C01, 6.773702
899.166519, C01, 9.911992
899.266482, C01, 10.3982
927.3560639999999, C01, 2.92081
945.949168, C01, 7.739931
946.049131, C01, 12.17037
1089.096078, C01, 12.94353
1089.196041, C01, 4.604945
1096.993149, C01, 11.11085
1097.093112, C01, 10.25449
1104.490369, C01, 2.562747
1136.278579, C01, 6.224229
1136.378542, C01, 11.83168
1136.478505, C01, 2.996232
3.898554, C02, 3.479612
4.598295, C02, 2.530576
4.898183, C02, 3.04445
5.397998, C02, 2.856649
5.79785, C02, 3.147432
5.997776, C02, 2.673756
