 , C00, C01, C05, C06, C11, C12, C19, C21, C26, C33, C44, C46, C57, C59, C60, C71, C73, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1076.998988845052, 8.717485, 0.003827649, 1.524454, 0.9386639, 6.333245, 0.2500396, 0.7190667, 5.983616, 1.165652, 2.018347, 0.08381099, 2.539744, 0.3642018, 0.7348962, 1.036229, 16.42733, 2.3108, 0.3796503
1077.098951624785, 8.233074, 0.003596571, 1.445055, 0.8869985, 6.123749, 0.2313128, 1.421483, 5.688873, 1.10496, 1.921528, 0.07683669, 2.4818, 0.3429413, 0.6979476, 0.9704649, 15.57777, 2.156789, 0.3566763
1077.198914404518, 7.77558, 0.003379443, 1.369792, 0.8381769, 5.538197, 0.2139885, 1.343049, 5.408649, 1.047428, 1.829353, 0.07044276, 2.33426, 0.3229219, 0.6628568, 0.9088743, 17.0799, 2.013042, 0.3350925
1077.298877184252, 7.343509, 0.003175423, 3.107335, 2.315116, 7.222995, 0.1979617, 1.268942, 5.142228, 0.992892, 2.34733, 0.0645809, 2.592843, 0.3040711, 0.6295301, 0.8511925, 16.19659, 1.878876, 0.3148149
1077.398839963985, 7.515952, 0.002983721, 2.945494, 2.187689, 8.358443, 0.1831353, 1.198925, 4.88893, 0.9411953, 2.280856, 0.4727994, 2.4387, 0.2863207, 0.5978791, 0.7971714, 15.35896, 2.796978, 0.2957643
1077.498802743718, 8.807948, 0.002803591, 2.792083, 2.067276, 7.811187, 0.1694192, 1.132771, 4.648109, 0.8921903, 2.171445, 0.7962776, 2.293722, 0.2696065, 0.5678194, 0.7465788, 15.74058, 8.171039, 0.2778666
1077.598765523451, 8.619996, 0.002634336, 2.646662, 1.95349, 7.064282, 0.1567305, 1.070267, 4.419151, 0.8457369, 2.067281, 1.769852, 2.157362, 0.253868, 0.5392711, 0.6991971, 14.92654, 7.626451, 0.2610519
1077.698728303184, 9.106668, 0.002475299, 2.508814, 1.845968, 6.388797, 0.1449921, 1.011212, 5.924898, 0.8017021, 1.968115, 1.622575, 2.029109, 0.2390483, 0.512158, 0.6548225, 15.03754, 7.11816, 0.2452547
1077.798691082917, 8.60063, 0.002325863, 2.839307, 1.744363, 5.777901, 0.1341328, 1.393568, 5.633048, 0.7599601, 1.873705, 1.646161, 1.90848, 0.2250937, 0.4864081, 1.53871, 14.25985, 6.643746, 0.2304135
1077.89865386265, 8.826872, 0.002185449, 2.691426, 1.648351, 5.225419, 0.1240869, 1.316674, 5.355573, 0.7203915, 1.783824, 2.572022, 1.795023, 0.2119537, 0.4619528, 1.590772, 15.96487, 6.20095, 0.2164703
1077.998616642383, 8.579082, 0.002053512, 2.551248, 1.728635, 4.953628, 0.1147934, 1.244023, 5.091766, 0.682883, 1.698255, 2.357992, 1.68831, 0.1995807, 0.4387271, 1.489814, 15.13923, 5.787666, 0.2033709
1078.098579422117, 8.577961, 0.001929539, 3.167231, 1.633489, 5.115468, 0.1061958, 1.17538, 6.453929, 0.6473275, 1.616791, 2.161773, 1.587942, 0.1879301, 0.4166691, 1.395263, 18.66041, 5.401927, 0.1910642
1078.19854220185, 8.101302, 0.001813052, 3.002271, 1.543579, 4.626328, 0.09824225, 1.110525, 6.841072, 0.6136233, 1.539234, 1.981882, 1.49354, 0.1769595, 0.3957202, 1.306712, 17.69536, 5.041897, 0.1795022
1078.298504981583, 7.651131, 0.001703596, 2.845902, 1.458618, 4.183959, 0.09088435, 1.049249, 6.504092, 0.581674, 1.465397, 1.81696, 2.627727, 0.1666294, 0.3758245, 1.480372, 16.78022, 4.705862, 0.1686399
