 , C0, C1, C2, C3, C6, C7
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
340.872216490426,0.5592575,0.001986119,27.68774,0.6692129,1.732618,0.0000000661142
340.972179017256,0.509351,0.001795633,25.93763,0.6176534,1.657267,0.00000005947738
341.072141544086,0.4638979,0.001623417,24.29814,0.5700662,1.585194,0.00000005350679
341.172104070916,0.422501,0.001467717,22.76228,0.5261454,1.516255,0.00000004813555
341.272066597747,0.3847982,0.001326951,23.11364,0.4856085,1.450314,0.0000000433035
341.372029124576,0.3504599,0.001199685,21.65265,1.186649,1.387241,0.00000003895651
341.471991651406,0.3191859,0.001084625,20.28401,1.095223,1.32691,0.00000003504589
341.571954178237,0.589649,0.0009805999,20.54697,1.010842,1.269204,0.00000003152784
341.671916705067,0.5370304,0.000886552,19.24822,0.9329615,1.214007,0.00000002836294
341.771879231897,0.4891073,0.0008015241,18.03156,0.8610814,1.16121,0.00000002551575
341.871841758727,0.4454608,0.0007246512,17.39337,0.7947393,1.11071,0.00000002295437
341.971804285557,0.4057091,0.0006551509,16.29395,0.7335085,1.062406,0.00000002065011
342.071766812387,0.5404457,0.0005923164,15.26403,0.6769953,1.016203,0.00000001857716
342.171729339217,0.6080831,0.0005355082,14.29921,0.6248361,1.476156,0.00000001671231
342.271691866047,0.5538195,0.0004841484,13.6653,0.5766956,1.411959,0.00000001503466
342.371654392877,0.5043982,0.0004377145,12.80153,0.5322641,1.350554,0.00000001352542
342.471616919707,0.4593872,0.0003957339,11.99236,0.4912557,1.291819,0.00000001216768
342.571579446537,0.4183927,0.0003577796,12.40632,0.4534069,1.235638,0.00000001094623
342.671541973367,0.3810566,0.0003234655,13.05394,0.4184741,1.181901,0.000000009847405
342.771504500197,0.3470522,0.0002924424,12.22881,0.3862328,1.130501,0.000000008858881
342.871467027027,0.3160822,0.0002643947,11.45584,0.3564754,1.081336,0.000000007969589
342.971429553857,0.287876,0.000239037,10.73173,0.4941514,1.03431,0.000000007169568
343.071392080687,0.2621867,0.0002161113,10.05339,0.4560795,2.019584,0.000000006449856
343.171354607517,0.2387899,0.0001953844,9.417928,0.4209408,1.931754,0.000000005802392
343.271317134347,0.217481,0.0001766454,9.389938,0.3885094,1.847743,0.000000005219924
343.371279661177,0.1980736,0.0001597036,8.796411,0.6472567,1.767386,0.000000004695925
343.471242188007,0.1803981,0.0001443866,9.11234,0.7715065,1.690523,0.000000004224529
343.571204714837,0.1642999,0.0001305387,8.536359,0.7120658,1.617003,0.000000003800453
343.671167241667,0.1496382,0.000118019,7.996785,0.6572046,1.546681,0.000000003418947
343.771129768497,0.1751623,0.0001066999,7.491317,0.6065702,1.479417,0.000000003075739
343.871092295327,0.1595313,0.00009646651,7.492032,0.6986729,1.415078,0.000000002766983
343.971054822157,0.1452952,0.00008721455,7.018469,0.6448436,1.353537,0.000000002489222
344.071017348987,0.1323295,0.00007884993,6.574839,0.5951616,1.294672,0.000000002239343
344.170979875817,0.1205208,0.00007128755,6.159251,0.5493073,1.238368,0.000000002014548
344.270942402648,0.1097658,0.00006445046,5.769931,0.8037104,1.184512,0.000000001812319
344.370904929478,0.09997065,0.00005826911,5.94374,0.7417884,1.132998,0.000000001630391
344.470867456308,0.09104956,0.00005268061,5.568043,0.6846373,1.083725,0.000000001466726
344.570829983138,0.08292455,0.5082343,5.216093,0.6318893,1.910989,0.00000000131949
344.670792509968,0.0755246,0.4594903,4.88639,0.5832054,1.827881,0.000000001187034
344.770755036798,0.068785,0.4154213,4.577527,0.6279901,1.748388,0.000000001067874
344.870717563628,0.06264682,0.3755789,4.288186,0.969605,1.672352,9.606764E-10
344.970680090458,0.0570564,0.3395576,4.017135,0.8949017,1.599622,8.642397E-10
345.070642617288,0.05196485,0.3069912,4.793379,0.8259539,1.530055,7.774836E-10
345.170605144118,0.04732765,0.2775481,4.490395,0.7623182,1.463514,6.994365E-10
345.270567670948,0.04310426,0.2509289,4.206562,0.7035853,1.399867,6.292241E-10
345.370530197778,0.4150511,0.2268627,3.94067,0.6493775,1.338987,5.660599E-10
345.470492724608,0.4622155,0.2051046,3.691585,0.5993462,1.280756,5.092364E-10
345.570455251438,0.6785825,0.1854333,3.458244,0.5531695,1.736922,4.581171E-10
345.670417778268,0.6180277,0.1676487,3.239652,0.5105505,1.661385,4.121294E-10
345.770380305098,0.5628767,0.1515697,3.034877,0.4712151,1.589132,3.707581E-10
345.870342831928,0.5126472,0.1370329,2.843046,0.4349103,1.520022,3.335398E-10
345.970305358758,0.7308759,0.1238903,2.66334,0.4014026,2.347427,3.000577E-10
346.070267885588,0.6656546,0.1120082,2.494993,0.3704765,2.245339,2.699366E-10
346.170230412418,0.6062535,0.1012656,2.337288,0.3419331,2.14769,2.428392E-10
346.270192939248,0.5521532,0.09155338,2.18955,0.3155888,2.054289,2.18462E-10
346.370155466078,0.5028806,0.08277263,2.051151,0.2912742,2.22665,1.965319E-10
346.470117992908,0.458005,0.07483403,1.9215,0.268833,2.129814,1.768032E-10
346.570080519738,0.4171339,0.06765682,1.800044,0.2481208,2.037189,1.590549E-10
346.670043046568,0.3799101,0.06116795,1.686266,0.2290043,1.948593,1.430883E-10
346.770005573399,0.346008,0.05530142,1.579679,0.2605227,1.86385,1.287245E-10
346.869968100229,0.3151312,0.04999755,1.479829,0.2404507,1.782793,1.158026E-10
346.969930627058,0.2870098,0.04520236,1.386291,0.2219252,2.168508,1.041778E-10
347.069893153889,0.309382,0.04086706,1.298665,0.3626266,2.074201,9.372002E-11
347.169855680719,0.2817737,0.03694756,1.216578,0.334688,1.983995,8.431201E-11
347.269818207549,0.256629,0.03340398,1.139679,0.6013848,1.897712,7.584841E-11
347.369780734379,0.2337282,0.6284627,1.067641,0.555051,1.815182,6.823443E-11
347.469743261209,0.2128709,0.5681878,1.000157,0.5122871,1.736241,6.138477E-11
347.569705788039,0.1938749,0.5136937,0.9369382,0.4728179,1.660733,5.52227E-11
347.669668314869,0.1765741,0.4644261,0.8777154,0.4363896,1.588508,4.967921E-11
347.769630841699,0.1608171,0.4198837,0.822236,0.4027679,1.519425,4.46922E-11
347.869593368529,0.1464663,0.3796133,0.7702634,0.8074412,1.453346,4.020581E-11
347.969555895359,0.133396,0.3432051,0.7215759,0.7452318,1.390141,3.616978E-11
348.069518422189,0.1214921,0.3102888,0.6759659,0.6878154,1.329685,3.25389E-11
348.169480949019,0.1106505,0.2805295,0.6332389,1.242204,1.271858,2.927251E-11
