Time (s), Cell Name, Value
80.27012000000001, C1, 3.902554
106.560334, C1, 4.917217
140.947534, C1, 6.293311
220.617878, C1, 6.18424
245.308687, C1, 4.498904
288.492612, C1, 3.405149
288.592575, C1, 4.396157
299.988333, C1, 5.179042
318.481449, C1, 3.637707
322.579923, C1, 3.651969
339.873486, C1, 3.06474
383.157374, C1, 3.080692
471.324555, C1, 3.658077
498.914285, C1, 3.31089
535.300741, C1, 5.666281
545.996759, C1, 6.340682
108.059776, C2, 3.31548
113.157878, C2, 4.771242
113.257841, C2, 8.416371
526.803904, C2, 3.416366
526.903866, C2, 7.628251
527.003829, C2, 4.75339
585.9818749999999, C2, 4.998776
586.0818379999999, C2, 8.508413
292.291198, C3, 3.228802
292.591086, C3, 2.542681
292.691049, C3, 2.727205
292.990938, C3, 3.449079
295.789896, C3, 5.217041
295.889859, C3, 2.804695
296.989449, C3, 3.140011
298.08904, C3, 4.447882
300.688072, C3, 3.100034
309.684724, C3, 3.348362
334.27557, C3, 2.613548
335.075272, C3, 3.342569
345.871254, C3, 2.636697
403.449821, C3, 3.959954
559.891587, C3, 3.591027
567.0889079999999, C3, 2.718465
567.388796, C3, 2.583446
33.287609, C4, 4.207433
33.387572, C4, 7.719632
58.278307, C4, 5.704937
95.46446400000001, C4, 3.781376
95.56442699999999, C4, 3.719657
97.563683, C4, 3.841911
122.954232, C4, 6.084499
123.054195, C4, 4.244453
128.752074, C4, 3.504758
128.852036, C4, 2.504488
189.629413, C4, 2.796998
255.504891, C4, 2.537429
271.199049, C4, 3.910517
271.299012, C4, 5.685578
276.59704, C4, 3.083781
320.380742, C4, 4.694512
396.2525, C4, 4.876126
473.423774, C4, 6.858117
512.309299, C4, 6.586827
258.603738, C6, 3.262214
260.10318, C6, 4.648009
260.203142, C6, 5.066386
291.691421, C6, 2.875447
316.982007, C6, 3.212006
317.08197, C6, 5.265868
331.476612, C6, 5.023635
331.576575, C6, 6.026918
421.942937, C6, 6.914915
426.141374, C6, 4.790174
426.241337, C6, 3.66853
426.541225, C6, 4.275938
426.641188, C6, 6.266422
426.741151, C6, 3.796126
426.841113, C6, 3.622368
426.941076, C6, 2.877693
427.840741, C6, 5.903563
431.039551, C6, 7.431475
431.139513, C6, 5.053285
436.937355, C6, 2.536279
437.037318, C6, 5.230423
437.137281, C6, 6.2418
439.336462, C6, 4.415814
442.735197, C6, 6.843534
458.029504, C6, 6.559538
458.129467, C6, 5.298108
16.094009, C7, 6.138266
16.193972, C7, 3.048168
46.682623, C7, 3.652913
50.081358, C7, 2.503606
60.677414, C7, 3.258311
73.472651, C7, 2.598585
76.47153400000001, C7, 2.738144
79.570381, C7, 6.266927
79.670344, C7, 2.876886
83.66885499999999, C7, 5.212821
83.768818, C7, 2.729673
102.761748, C7, 3.33249
103.861339, C7, 5.227498
124.053822, C7, 4.272036
135.349618, C7, 3.792747
135.449581, C7, 2.83882
144.346269, C7, 3.031833
158.840873, C7, 2.837195
158.940836, C7, 5.195827
162.239608, C7, 3.796356
163.039311, C7, 3.254106
168.73719, C7, 7.09454
183.631645, C7, 4.954963
197.826361, C7, 4.885881
215.219887, C7, 3.409492
219.318361, C7, 3.215692
220.917766, C7, 2.899657
226.015868, C7, 4.543951
232.813338, C7, 3.310669
237.111738, C7, 2.57728
238.61118, C7, 2.648255
243.009543, C7, 4.505231
257.60411, C7, 5.27335
269.699608, C7, 3.928087
279.296035, C7, 2.725713
279.795849, C7, 3.165359
280.795477, C7, 3.24778
280.89544, C7, 5.396831
321.180444, C7, 4.137236
321.280407, C7, 4.694046
330.077133, C7, 3.576502
349.769802, C7, 7.092859
359.966007, C7, 4.21941
373.960798, C7, 4.000185
384.157002, C7, 3.295765
388.855253, C7, 3.169056
393.353579, C7, 2.814108
393.453542, C7, 3.41895
399.251383, C7, 2.927466
472.024295, C7, 3.710655
472.124257, C7, 4.203689
482.720313, C7, 3.806538
484.919494, C7, 6.348788
485.019457, C7, 5.234911
485.11942, C7, 4.075205
491.417076, C7, 2.91621
499.913913, C7, 3.319193
517.907215, C7, 2.558922
518.007178, C7, 2.5906
524.904611, C7, 3.04599
546.596536, C7, 2.6627
592.379494, C7, 2.804028
597.2776699999999, C7, 3.338214
598.177336, C7, 4.203362
