,"C00","C01","C02","C04","C05","C06","C07","C08","C10","C11","C13","C14","C15","C17","C18"
"Time(s)/Cell Status"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"
132.550839798142,0.004265599,1.769679E-25,0.7633145,0.000001379441,8.127531E-44,0.5077881,2.390559,1.00467,7.462403,0.009622959,0.000001307851,1.913935E-32,0.7996945,14.21146,25.11778
132.650802724084,0.00398202,1.407913E-25,0.7310883,0.000001092716,6.726233E-44,0.4780416,2.154073,1.056209,7.429696,0.007522742,0.000001092617,1.672953E-32,0.634849,13.57093,24.51153
132.750765650025,0.003717293,1.1201E-25,0.7002227,0.0000008655895,5.465064E-44,0.4500377,1.940982,1.716424,6.701569,0.005880899,0.0000009128041,1.462312E-32,0.5039839,12.95927,23.44603
132.850728575966,0.003470165,8.911238E-26,0.6706603,0.0000006856721,4.484155E-44,0.4236742,1.748971,1.500468,5.88451,0.004597389,0.0000007625832,1.278194E-32,0.4000948,12.37518,22.42686
132.950691501907,0.003239467,7.08956E-26,0.6423458,0.0000005431515,3.643376E-44,0.3988552,1.575954,1.508163,5.167068,0.003594006,0.0000006370842,1.117257E-32,0.317621,11.81741,23.01853
133.050654427849,0.003024105,5.640277E-26,0.6152269,0.0000004302545,2.942727E-44,0.37549,1.420053,1.31841,4.537096,0.002809612,0.0000005322387,9.765843E-33,0.252148,11.28479,23.08514
133.15061735379,0.002823061,4.487264E-26,0.5892528,0.0000003408238,2.382207E-44,0.3534936,1.279574,1.152532,5.499888,0.002196412,0.0000004446478,8.536233E-33,0.2001713,10.77617,22.08165
133.250580279731,0.002635382,3.569956E-26,0.5643753,0.0000002699818,1.961818E-44,0.3327858,1.152993,1.007524,4.829339,0.001717044,0.0000003714717,7.461442E-33,0.1589089,10.29047,21.39611
133.350543205673,0.00246018,2.840168E-26,0.5405481,0.0000002138646,1.681558E-44,0.313291,1.869272,0.88076,4.240543,0.001342298,0.0000003103384,6.521978E-33,0.1261521,9.82667,20.46605
133.450506131614,0.002296626,2.259567E-26,0.5177268,0.0000001694117,1.401298E-44,0.2949383,1.684354,1.16699,3.723534,0.001049341,0.0000002592657,5.7008E-33,0.1001476,9.383769,19.57641
133.550469057555,0.002143945,1.797655E-26,0.4958691,0.0000001341986,1.121039E-44,0.2776606,1.51773,1.020163,4.011965,0.0008203213,0.0000002165981,4.983016E-33,0.07950363,8.960831,20.02984
133.650431983496,0.002001414,1.430169E-26,0.4749342,0.0000001063047,9.809089E-45,0.2613951,1.367588,0.8918092,3.522824,0.0006412857,0.0000001809524,4.355608E-33,0.06311509,8.556955,19.15916
133.750394909438,3.469423,1.137807E-26,0.4548831,0.0000000842087,8.407791E-45,0.2460825,1.312971,0.7796044,3.09332,0.0005013247,0.0000001511729,3.807197E-33,0.05010482,8.171283,18.32633
133.850357835379,9.953706,9.05211E-27,0.6628695,0.00000006670547,7.006492E-45,0.2316668,1.183085,0.6815168,2.716181,0.0003919102,0.0000001262943,3.327836E-33,0.03977643,10.0488,17.76623
