Time (s), Cell Name, Value
60.567413, C00, 5.350472
60.66736, C00, 3.120866
60.867252, C00, 5.00491
107.342248, C00, 2.512707
107.442194, C00, 3.849221
127.531385, C00, 2.967038
127.631332, C00, 3.830068
127.731278, C00, 5.331591
127.831224, C00, 2.955482
127.93117, C00, 2.481764
128.031117, C00, 3.347797
128.131063, C00, 2.546083
320.927334, C00, 3.26838
321.027281, C00, 3.665375
360.406094, C00, 3.153814
360.50604, C00, 4.088251
360.605986, C00, 4.438385
360.705933, C00, 5.190536
361.005771, C00, 2.892193
524.417852, C00, 5.097628
572.791826, C00, 4.156662
572.8917719999999, C00, 3.911327
572.991718, C00, 3.171509
573.191611, C00, 2.630487
690.328589, C00, 2.518666
690.5284810000001, C00, 3.668385
690.628427, C00, 4.681503
690.728374, C00, 4.263439
690.82832, C00, 2.498313
854.740132, C00, 2.545502
855.039971, C00, 3.265563
855.139917, C00, 4.977759
855.239863, C00, 4.759411
855.439755, C00, 2.636696
865.2344859999999, C00, 2.677938
946.69066, C00, 4.172253
1150.181178, C00, 3.866613
1150.381071, C00, 4.156231
1150.580963, C00, 3.554745
1150.680909, C00, 3.018404
1150.780856, C00, 4.268633
1325.678086, C00, 2.720965
1325.778049, C00, 3.063406
1325.878012, C00, 2.727703
1325.977975, C00, 6.190051
1326.1779, C00, 3.78643
1358.965694, C00, 2.603227
1359.265582, C00, 2.762417
1359.365545, C00, 6.50055
1359.56547, C00, 3.229856
1359.665433, C00, 3.702197
1359.965322, C00, 2.724944
1360.065284, C00, 3.093264
1385.055981, C00, 4.44079
1385.255906, C00, 3.444917
1385.355869, C00, 4.205494
1432.638266, C00, 4.636104
1432.738229, C00, 2.820621
1432.938155, C00, 5.258336
1565.688733, C00, 3.408331
1565.788696, C00, 4.465734
1565.888659, C00, 2.647266
1565.988621, C00, 4.637644
1633.663427, C00, 3.47177
1633.863352, C00, 4.398378
1677.047275, C00, 4.430998
1677.147238, C00, 2.823907
1677.347164, C00, 4.915028
1677.447127, C00, 4.695924
1681.14575, C00, 2.558169
1742.622862, C00, 2.990647
1742.722825, C00, 2.609234
1742.922751, C00, 5.914796
1779.609093, C00, 2.953424
1805.399491, C00, 4.001728
1805.599417, C00, 2.522121
1805.69938, C00, 2.988472
1837.28762, C00, 3.359744
1837.387582, C00, 2.832883
1837.587508, C00, 3.53371
1837.687471, C00, 3.169486
1929.953121, C00, 4.638653
1930.053084, C00, 2.83226
1930.25301, C00, 3.926322
