 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
725.229485675957,0.948036,0.005800352,0.006315044,0.00002302557,0.00000004169477,0.8668423,0.6440234,0.001152748,0.02566016,8.898785,0.7416184,0.2638946
725.329448389351,0.8637567,0.005419711,0.00602192,0.0000212782,0.00000003810733,0.82946,0.8549058,0.001026165,0.02383416,8.388606,0.6675324,0.2464854
725.429411102745,0.7869697,0.005064048,0.005742402,0.00001966344,0.00000003482855,0.7936898,0.8111548,0.000913483,0.02213809,7.907677,0.6008474,0.2302247
725.52937381614,0.7170089,0.004731726,0.005475859,0.00001817122,0.00000003183187,0.7594622,0.7696429,0.0008131742,0.02056273,7.454319,0.8960662,0.2150368
725.629336529534,0.6532676,0.004421212,0.005221687,0.00001679224,0.00000002909304,0.7491041,0.9486047,0.0007238802,0.01909946,7.026954,0.8065513,0.2008508
725.729299242929,0.5951928,0.004131075,0.004979313,0.00001551791,0.00000002658985,0.9652968,0.9000586,0.0006443915,0.01774033,7.617002,0.7259786,0.1876006
725.829261956323,0.5422809,0.003859977,0.00474819,0.00001434029,0.00000002430204,0.9236687,0.8539968,0.0005736314,0.01647791,7.887242,0.653455,0.1752246
725.929224669717,0.4940727,0.003606671,0.004527794,0.00001325203,0.00000002221108,0.8838358,0.8102924,0.0005106414,0.01530532,7.818521,0.5881763,0.163665
726.029187383111,0.4501502,0.003369987,0.004317629,0.00001224636,0.00000002030002,0.8457206,0.7688245,0.0004545683,0.01421618,8.491867,0.5824335,0.152868
726.129150096506,0.4621228,0.003148835,0.004117218,0.00001131701,0.0000000185534,0.8092492,0.7294789,0.0004046526,0.01320454,8.005017,0.5242497,0.1427833
726.2291128099,0.4210406,0.002942197,0.00392611,0.00001045818,0.00000001695705,0.7743506,0.6921468,0.000360218,0.0122649,7.54608,1.024607,0.1333638
726.329075523295,0.3836106,0.002749118,0.003743873,0.000009664532,0.00000001549805,0.740957,0.6567253,0.0003206627,0.01139211,7.113453,1.360628,0.1245658
726.429038236689,0.349508,0.00256871,0.003570095,0.00000893111,0.00000001416459,0.7090034,0.6231165,0.2445096,0.01058144,6.70563,1.224704,0.3851876
726.529000950083,0.3184371,0.002400142,0.003404382,0.000008253345,0.00000001294586,0.6784279,0.5912277,0.2176602,0.009828455,6.321188,1.102359,0.3597768
726.628963663478,0.2901284,0.002242635,0.003246362,0.000007627015,0.00000001183199,0.6491709,0.5609708,0.1937591,0.009129052,7.638511,0.9922355,0.3360423
726.728926376872,0.2643363,0.002095465,0.003095676,0.000007048216,0.00000001081396,0.6211756,0.5322623,0.1724826,0.00847942,7.956425,0.8931134,0.3138735
726.828889090266,0.2408371,0.001957952,0.002951985,0.00000651334,0.000000009883516,0.5943876,0.5050231,0.1535424,0.007876016,7.500273,0.8038934,0.2931672
