 , C0
Time(s)/Cell Status, accepted
0, 0
0.0999624558775643, 0
0.1999249117551286, 0
0.2998873676326929, 0
0.3998498235102572, 0
0.4998122793878216, 0
0.5997747352653858, 0
0.6997371911429502, 0
0.7996996470205144, 0
0.8996621028980788, 0
0.9996245587756432, 0
1.099587014653207, 0
1.199549470530772, 0
1.299511926408336, 0
1.3994743822859, 0
1.499436838163465, 0
1.599399294041029, 0
1.699361749918593, 0
1.799324205796158, 0
1.899286661673722, 0
1.999249117551286, 0
2.099211573428851, 0
2.199174029306415, 0
2.299136485183979, 0
2.399098941061543, 0
2.499061396939108, 0
2.599023852816672, 0
2.698986308694237, 0
2.798948764571801, 0
2.898911220449365, 0
2.998873676326929, 0
3.098836132204493, 0
3.198798588082058, 0
3.298761043959622, 0
3.398723499837187, 0
3.498685955714751, 0
3.598648411592315, 0
3.698610867469879, 0
3.798573323347444, 0
3.898535779225008, 0
3.998498235102573, 0
4.098460690980136, 0
4.198423146857701, 0
4.298385602735266, 0
4.39834805861283, 0
4.498310514490394, 0
4.598272970367958, 0
4.698235426245523, 0
4.798197882123087, 0.2958573
4.898160338000651, 0.2539668
4.998122793878216, 0.2180076
5.09808524975578, 0.1871399
5.198047705633345, 0.1606427
5.298010161510908, 0.1378973
5.397972617388473, 0.1183724
5.497935073266037, 0.101612
5.597897529143602, 0.08722474
5.697859985021165, 0.07487457
5.79782244089873, 0.06427307
5.897784896776295, 0.05517263
5.997747352653858, 0.04736073
6.097709808531423, 0.04065492
6.197672264408987, 0.03489858
6.297634720286552, 0.02995728
6.397597176164115, 0.02571563
6.49755963204168, 0.02207455
6.597522087919245, 0.01894901
6.697484543796809, 0.01626601
6.797446999674373, 0.01396291
6.897409455551937, 0.0119859
6.997371911429502, 0.01028881
7.097334367307066, 0.008832017
7.19729682318463, 0.00758149
7.297259279062195, 0.006508025
7.397221734939759, 0.005586553
7.497184190817324, 0.004795552
7.597146646694887, 0.004116549
7.697109102572452, 0.003533686
7.797071558450016, 0.003033351
7.897034014327581, 0.002603858
7.996996470205145, 0.002235177
8.09695892608271, 0.001918698
8.196921381960273, 0.001647029
8.296883837837838, 0.001413826
8.396846293715402, 0.001213642
8.496808749592967, 0.001041802
8.596771205470532, 0.0008942934
8.696733661348095, 0.0007676702
8.796696117225659, 0.0006589757
8.896658573103224, 0.0005656712
8.996621028980789, 0.0004855777
9.096583484858352, 0.0004168247
9.196545940735916, 0.0003578064
9.296508396613481, 0.0003071445
9.396470852491046, 0.0002636559
9.49643330836861, 0.0002263248
9.596395764246173, 0.0001942794
9.696358220123738, 0.0001667714
9.796320676001303, 0.0001431582
9.896283131878867, 0.0001228884
9.996245587756432, 0.0001054886
10.09620804363399, 9.055245e-05
10.19617049951156, 7.773111e-05
10.29613295538912, 6.672515e-05
10.39609541126669, 5.727752e-05
10.49605786714425, 4.916759e-05
10.59602032302182, 4.220594e-05
10.69598277889938, 3.622999e-05
10.79594523477695, 3.110018e-05
10.89590769065451, 2.66967e-05
10.99587014653207, 2.291671e-05
11.09583260240964, 1.967193e-05
11.1957950582872, 1.688658e-05
11.29575751416477, 0.4011513
11.39571997004233, 0.4930373
11.4956824259199, 4.535612
11.59564488179746, 5.014016
11.69560733767502, 4.30408
11.79556979355259, 3.694665
11.89553224943015, 3.171537
11.99549470530772, 2.722478
12.09545716118528, 2.337002
12.19541961706285, 2.006105
12.29538207294041, 1.722061
12.39534452881797, 1.478234
12.49530698469554, 1.26893
12.5952694405731, 1.089262
12.69523189645067, 0.9350334
12.79519435232823, 0.8026419
12.8951568082058, 0.6889957
12.99511926408336, 0.5914406
13.09508171996093, 0.5076984
13.19504417583849, 0.4358133
13.29500663171605, 0.3741064
13.39496908759362, 0.3211367
13.49493154347118, 0.2756669
13.59489399934875, 0.2366351
13.69485645522631, 0.2031299
13.79481891110387, 0.1743687
13.89478136698144, 0.1496798
13.994743822859, 0.1284866
14.09470627873657, 0.1102942
14.19466873461413, 0.09467761
14.2946311904917, 0.08127219
14.39459364636926, 0.06976485
14.49455610224683, 0.05988683
