 , C00, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1120.77905772891, 0.0002181403, 22.67215, 1.495179e-07, 1.368265e-13, 0.5567933, 2.0472, 0.09051403, 0.003342547, 2.651417e-05, 2.222974e-06, 1.90522e-07, 3.530381, 2.996607e-07, 5.381466e-07, 5.128734e-05, 1.180994, 0.07421304, 10.87726, 3.726285e-15, 0.01018318, 0.2514617, 10.35281, 0.004847364, 6.866002e-10, 0.01382216
1120.879020185004, 0.0002049868, 21.64167, 1.314076e-07, 1.198726e-13, 0.5121468, 1.940395, 0.08229776, 0.003081143, 2.351933e-05, 2.002099e-06, 1.751536e-07, 4.267299, 2.790756e-07, 5.087254e-07, 4.834616e-05, 1.078275, 0.06860085, 13.12338, 3.443255e-15, 0.009564036, 0.2383985, 11.33614, 0.004442327, 6.348996e-10, 0.01242569
1120.978982641099, 0.0001926265, 20.65802, 1.15491e-07, 1.050195e-13, 0.4710802, 1.839161, 0.07482732, 0.002840182, 2.086277e-05, 1.803169e-06, 1.610249e-07, 3.966706, 2.599045e-07, 4.809127e-07, 4.557365e-05, 0.9844894, 0.06341307, 14.36152, 3.181723e-15, 0.008982535, 0.2260139, 11.91555, 0.004071135, 5.870921e-10, 0.01117031
1121.078945097193, 0.0001810114, 20.82006, 1.015022e-07, 9.200677e-14, 0.4333066, 1.743209, 0.06803499, 0.002618065, 1.850627e-05, 1.624006e-06, 1.480358e-07, 4.155828, 2.420504e-07, 4.546206e-07, 4.296014e-05, 0.8988613, 0.0586176, 13.67791, 2.940055e-15, 0.008436388, 0.2142726, 11.38152, 0.003730958, 5.428845e-10, 0.01004176
1121.178907553287, 0.0001700967, 19.87376, 8.92078e-08, 8.060643e-14, 0.3985619, 1.652262, 0.06185923, 0.002413319, 1.641595e-05, 1.462644e-06, 1.360946e-07, 4.004729, 2.254227e-07, 4.297658e-07, 4.04965e-05, 0.8206809, 0.05418478, 14.14342, 2.716744e-15, 0.007923448, 0.2031413, 10.87142, 0.003419206, 5.020056e-10, 0.009027223
1121.278870009382, 0.0001598401, 18.97047, 7.840256e-08, 7.061868e-14, 0.3666032, 1.566061, 0.05624406, 0.002224586, 1.456173e-05, 1.317315e-06, 1.251165e-07, 3.722631, 2.099373e-07, 4.062699e-07, 3.817414e-05, 0.7493004, 0.05008718, 13.89291, 2.510394e-15, 0.007441696, 0.1925883, 11.17597, 0.003133504, 4.642049e-10, 0.00811519
1121.378832465476, 0.000150202, 20.65088, 6.89061e-08, 6.186849e-14, 0.3372071, 1.484357, 0.0511386, 0.002050612, 1.291695e-05, 1.186426e-06, 1.150241e-07, 3.835321, 1.955157e-07, 3.840586e-07, 3.598497e-05, 0.8443394, 0.04629946, 13.07733, 2.319717e-15, 0.006989235, 0.1825835, 10.67509, 0.002871674, 4.292506e-10, 0.007295301
1121.47879492157, 0.0001411451, 19.73855, 6.05599e-08, 5.420251e-14, 0.3101682, 1.406916, 0.04649658, 0.001890244, 1.145795e-05, 1.068542e-06, 1.057457e-07, 3.565157, 1.820848e-07, 3.630616e-07, 3.392134e-05, 0.780899, 0.04279817, 12.30963, 2.143523e-15, 0.006564283, 0.1730984, 14.02232, 0.002631722, 3.969283e-10, 0.006558247
1121.578757377664, 0.0001326343, 19.18477, 5.322462e-08, 4.748641e-14, 0.2852973, 1.333514, 0.04227593, 0.001742417, 1.016375e-05, 9.623715e-07, 9.721573e-08, 3.314023, 1.695765e-07, 3.432125e-07, 3.197605e-05, 0.7129786, 0.03956166, 11.587, 1.980712e-15, 0.006165169, 0.164106, 14.48973, 0.00241182, 3.670399e-10, 0.005895658
1121.678719833759, 0.0001246367, 18.3128, 4.677782e-08, 4.160248e-14, 0.2624207, 1.263943, 0.0384384, 0.001606151, 9.015733e-06, 8.667499e-07, 8.937386e-08, 3.897268, 1.579274e-07, 3.244486e-07, 3.014232e-05, 0.6509658, 0.0365699, 10.90679, 1.830267e-15, 0.005790322, 0.1555808, 16.01217, 0.002210293, 3.39402e-10, 0.005300012
1121.778682289853, 0.0001171213, 17.48045, 4.111189e-08, 3.644761e-14, 0.2413785, 1.564529, 0.03494922, 0.001480542, 7.997385e-06, 7.806293e-07, 8.216454e-08, 3.62274, 1.470786e-07, 3.067106e-07, 2.841374e-05, 0.6669701, 0.03380438, 10.26651, 1.691249e-15, 0.005438265, 0.1474985, 15.29453, 0.002025605, 3.138453e-10, 0.004764544
1121.878644745947, 0.000110059, 17.44104, 3.613224e-08, 3.193148e-14, 0.2220236, 1.482905, 0.03177676, 0.001364756, 7.094063e-06, 7.030656e-07, 7.553676e-08, 3.36755, 1.36975e-07, 2.899423e-07, 2.67843e-05, 0.608959, 0.03124801, 9.663824, 1.562791e-15, 0.005107614, 0.1398361, 14.60907, 0.001856349, 2.902129e-10, 0.004283176
1121.978607202042, 0.0001034227, 17.80417, 3.175575e-08, 2.797492e-14, 0.2042206, 1.405539, 0.02889228, 0.001258026, 6.292772e-06, 6.332087e-07, 6.944361e-08, 3.130336, 1.275655e-07, 2.740908e-07, 2.52483e-05, 0.5559934, 0.02888495, 9.096514, 1.444089e-15, 0.004797067, 0.1325717, 13.95432, 0.001701236, 2.683601e-10, 0.003850441
1122.078569658136, 9.718645e-05, 16.99494, 2.790936e-08, 2.450862e-14, 0.1878452, 1.33221, 0.02626963, 0.001159642, 5.58199e-06, 5.702929e-07, 6.384196e-08, 2.909832, 1.188024e-07, 2.591059e-07, 2.380038e-05, 0.6694187, 0.02670059, 8.562508, 1.334403e-15, 0.004505401, 0.1256847, 13.32892, 0.001559084, 2.481528e-10, 0.003461425
1122.17853211423, 9.132626e-05, 16.39315, 2.452886e-08, 2.147181e-14, 2.271079, 2.290549, 0.02388505, 0.001068952, 4.951492e-06, 5.136283e-07, 5.869217e-08, 2.70486, 1.106413e-07, 2.449402e-07, 2.24355e-05, 0.7057927, 0.02468142, 8.853237, 1.233049e-15, 0.004231469, 0.1191555, 12.73154, 0.00142881, 2.29467e-10, 0.003111713
1122.278494570324, 8.581944e-05, 15.64805, 2.155782e-08, 1.881129e-14, 2.239957, 3.061154, 0.02171692, 0.0009853543, 4.39221e-06, 4.62594e-07, 5.395778e-08, 2.514327, 1.030408e-07, 2.31549e-07, 2.114889e-05, 0.6444048, 0.02281494, 9.163589, 1.139393e-15, 0.003974192, 0.1129654, 14.16452, 0.001309421, 2.121883e-10, 0.002797332
1122.378457026419, 8.064467e-05, 14.93683, 1.894664e-08, 1.648043e-14, 4.386593, 2.901448, 0.01974561, 0.0009082946, 3.8961e-06, 4.166305e-07, 4.960529e-08, 2.337214, 9.596242e-08, 2.188899e-07, 1.993606e-05, 0.5883563, 0.02108962, 8.625646, 1.05285e-15, 0.003732558, 0.107097, 14.06218, 0.001200008, 1.962107e-10, 0.002514714
1122.478419482513, 7.578193e-05, 15.50315, 1.665174e-08, 1.443838e-14, 4.034854, 2.750075, 0.01795323, 0.0008372614, 3.456027e-06, 3.752339e-07, 4.56039e-08, 2.172578, 8.937029e-08, 2.069229e-07, 1.879279e-05, 0.5371827, 0.01949476, 8.119282, 9.728811e-16, 0.003505615, 0.1015334, 13.43194, 0.001099738, 1.814362e-10, 0.002260649
1122.578381938607, 7.12124e-05, 15.32593, 1.463481e-08, 1.264935e-14, 3.711319, 3.422492, 0.01632356, 0.0007717833, 3.065661e-06, 3.379505e-07, 4.192527e-08, 2.019539, 8.3231e-08, 1.956102e-07, 1.771508e-05, 0.875632, 0.01802052, 7.642643, 8.98986e-16, 0.003292471, 0.09625877, 12.82995, 0.001007846, 1.677742e-10, 0.002032253
1122.678344394701, 6.691841e-05, 14.62934, 1.286218e-08, 1.1082e-14, 3.642083, 3.243935, 0.01484181, 0.000711426, 2.719387e-06, 3.043716e-07, 3.854338e-08, 1.877281, 7.751345e-08, 1.849159e-07, 1.669917e-05, 0.799472, 0.01665776, 7.193986, 8.307036e-16, 0.003092286, 0.09125821, 13.00629, 0.0009236321, 1.551409e-10, 0.001826931
1122.778306850796, 6.288334e-05, 15.07842, 1.130426e-08, 9.708859e-15, 3.350042, 3.074693, 0.01349457, 0.0006557889, 2.412226e-06, 2.741291e-07, 3.543429e-08, 1.745043, 7.218867e-08, 1.748063e-07, 1.574152e-05, 0.7299362, 0.01539805, 6.771667, 7.676076e-16, 0.002904272, 0.1812227, 12.5408, 0.0008464552, 1.434589e-10, 0.001642354
1122.87826930689, 5.909157e-05, 15.06391, 9.935036e-09, 8.505857e-15, 3.081419, 2.914281, 0.01226962, 0.0006045029, 2.13976e-06, 2.468915e-07, 3.2576e-08, 1.62212, 6.722967e-08, 1.652494e-07, 1.483879e-05, 0.8024678, 0.01423361, 6.374139, 7.093041e-16, 0.00272769, 0.1718083, 11.97875, 0.0007757269, 1.326565e-10, 0.001476425
1122.978231762984, 5.552845e-05, 15.16928, 8.731662e-09, 7.451916e-15, 2.834335, 3.33267, 0.01115587, 0.0005572277, 1.898069e-06, 2.223603e-07, 2.994826e-08, 1.507856, 6.261133e-08, 1.56215e-07, 1.398783e-05, 0.7326714, 0.01315723, 5.999949, 6.55429e-16, 0.002561844, 0.162883, 14.1865, 0.0007109086, 1.226676e-10, 0.00132726
1123.078194219078, 5.218017e-05, 14.47982, 7.674045e-09, 6.528567e-15, 3.048727, 3.158799, 0.01014321, 0.0005136497, 1.683678e-06, 2.002665e-07, 2.75325e-08, 1.401641, 5.831025e-08, 1.476745e-07, 1.318567e-05, 0.6689457, 0.01216224, 5.647725, 6.056459e-16, 0.002406082, 0.1544214, 13.55069, 0.0006515064, 1.134308e-10, 0.001193165
1123.178156675173, 4.903379e-05, 13.82169, 6.744532e-09, 5.719628e-15, 6.222527, 2.993999, 0.00922248, 0.0004734797, 1.493503e-06, 1.803679e-07, 2.53116e-08, 1.302908, 5.430463e-08, 1.396009e-07, 1.242951e-05, 0.6107627, 0.0112425, 5.316178, 5.596441e-16, 0.00225979, 0.1463993, 12.94338, 0.0005970678, 1.048895e-10, 0.001072618
1123.278119131267, 4.607713e-05, 13.19347, 5.927605e-09, 5.010922e-15, 5.723573, 3.710232, 0.008385324, 0.0004364511, 1.324808e-06, 0.3002028, 2.326984e-08, 1.21113, 5.057418e-08, 1.319688e-07, 1.171671e-05, 0.5576403, 0.01039231, 5.004094, 5.171364e-16, 0.002122393, 0.3664789, 12.36328, 0.0005471779, 9.699141e-11, 0.0009642497
1123.378081587361, 4.329876e-05, 12.59381, 5.209627e-09, 4.390031e-15, 5.264628, 3.516663, 0.00762416, 0.0004023185, 1.175168e-06, 0.4524777, 2.139279e-08, 1.125816, 4.709999e-08, 1.247539e-07, 1.10448e-05, 0.5091383, 0.009606419, 4.710331, 4.778574e-16, 0.001993349, 1.089293, 12.31211, 0.0005014567, 8.968803e-11, 0.0008668302
