 , C00, C21, C23, C25, C77, C81, C83, C89
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0
0.09996240652843701, 0, 3.673762, 0, 0, 0, 9.690523, 2.539906, 0
0.199924813056874, 0, 3.626164, 0, -1.192093e-07, 1.574286, 12.58297, 2.400242, 0
0.299887219585311, 0, 3.559685, 0, 0.9353046, 2.463367, 11.64286, 2.268259, 0
0.399849626113748, 0.6112797, 3.848305, 0, 0.9306427, 5.710215, 10.77298, 2.143536, 0
0.499812032642185, 0.5243723, 5.846591, 0, 0.8641628, 5.439394, 9.968096, 2.025667, 0
0.599774439170622, 0.4498209, 5.498543, 2.384186e-07, 0.8024319, 5.448833, 9.223347, 1.914281, 0
0.699736845699059, 0.3858687, 5.171214, 2.384186e-07, 0.7451108, 5.190411, 8.534242, 6.329615, 0
0.799699252227496, 1.982644, 4.86337, 1.192093e-07, 0.6918843, 6.781263, 9.896221, 6.821631, 0
0.8996616587559331, 1.700766, 4.573853, 2.384186e-07, 0.6424599, 7.178732, 11.68095, 7.422802, 0
0.9996240652843701, 1.458964, 6.137525, 2.384186e-07, 0.5965662, 7.696237, 11.46526, 7.01464, 0
1.099586471812807, 1.251539, 5.772157, 2.384186e-07, 0.5539509, 8.43386, 10.60865, 6.628922, 0
1.199548878341244, 1.784067, 6.550762, 2.384186e-07, 0.5143799, 8.033864, 10.67704, 6.264414, 0
1.299511284869681, 1.912901, 6.614797, 2.384186e-07, 0.4776354, 7.652841, 11.42216, 7.547998, 0
1.399473691398118, 1.640939, 6.829898, 2.384186e-07, 0.4435158, 7.624394, 11.6864, 7.132953, 0
1.499436097926555, 1.407642, 7.574151, 2.384186e-07, 0.4118336, 7.262791, 12.24559, 11.41084, 0
1.599398504454992, 1.248747, 7.123261, 1.192093e-07, 0.3824145, 9.031945, 11.33068, 10.78339, 0
1.699360910983429, 1.071209, 6.699212, 1.192093e-07, 0.3550971, 8.603584, 10.48413, 10.19044, 0
1.799323317511866, 1.159341, 6.300407, 1.058346, 0.3297309, 10.41989, 9.700826, 9.63009, 0
1.899285724040303, 1.455487, 5.925343, 1.000129, 0.3061768, 9.925705, 8.976046, 9.100554, 0
1.99924813056874, 1.248557, 5.572607, 0.9451143, 0.2843053, 9.454956, 8.305417, 8.600138, 0
2.099210537097177, 1.071046, 5.240869, 0.8931258, 0.2639962, 9.006535, 7.684893, 8.127237, 0
2.199172943625614, 0.9187725, 4.928879, 0.8439968, 0.2451378, 8.57938, 9.973404, 7.680341, 0
2.299135350154051, 2.122993, 5.287367, 0.7975705, 0.2276265, 8.172483, 9.228258, 7.258017, 0
2.399097756682488, 1.821162, 4.972609, 0.7536979, 0.2113661, 7.784885, 10.08296, 8.920372, 0
2.499060163210925, 1.562242, 4.676589, 0.7122387, 0.1962674, 8.513199, 10.76064, 10.30771, 0
2.599022569739362, 1.340134, 4.398191, 0.6730601, 0.1822471, 8.551495, 9.956676, 11.91914, 0
2.698984976267799, 1.371708, 4.136366, 0.6360366, 0.1692284, 8.14592, 11.06597, 11.90751, 0
2.798947382796236, 1.27963, 3.890127, 1.828537, 0.1571397, 7.759582, 11.8872, 11.81951, 0
2.898909789324673, 1.097702, 3.658548, 1.727953, 0.1459145, 7.391566, 10.99907, 11.16959, 0
2.99887219585311, 0.9416384, 3.440754, 1.632902, 0.3529177, 7.041005, 10.17729, 15.1318, 0
3.098834602381547, 1.653599, 3.235925, 1.54308, 0.3277072, 6.70707, 9.416913, 14.29974, 0
3.198797008909984, 1.418503, 3.04329, 1.458198, 0.3042977, 7.914534, 8.713345, 13.51343, 0
3.298759415438421, 1.21683, 2.862123, 1.377986, 0.2825604, 7.539169, 8.062343, 12.77036, 0
3.398721821966858, 1.515767, 3.751526, 1.302186, 0.2623759, 7.610424, 7.459979, 12.06815, 0
3.498684228495295, 1.300266, 3.528197, 1.230556, 0.2436332, 8.765491, 12.59194, 11.40455, 0
3.598646635023732, 1.115404, 3.318163, 1.162866, 0.2789377, 8.349768, 14.0399, 10.77745, 0
3.698609041552169, 2.30354, 4.45768, 1.098899, 0.259012, 8.43646, 12.99094, 10.18482, 0
3.798571448080606, 2.186506, 4.192314, 1.038451, 0.3458048, 8.036342, 16.1363, 15.04531, 0
3.898533854609043, 2.204857, 3.942745, 1.733233, 0.3211025, 7.6552, 14.9307, 14.218, 0
3.99849626113748, 1.891387, 3.708033, 1.637892, 0.2981648, 7.292135, 13.81518, 15.87844, 0
4.098458667665917, 1.622483, 3.702175, 1.547795, 0.2768656, 7.435225, 12.783, 15.00532, 0
4.198421074194354, 1.391811, 3.481784, 1.462654, 0.2570879, 7.082593, 11.82794, 14.18022, 0
4.298383480722792, 1.885729, 3.274513, 1.382197, 0.238723, 7.405994, 10.94424, 15.22611, 0
4.398345887251228, 1.61763, 3.96449, 1.306165, 0.22167, 7.054749, 10.12656, 14.96028, 0
4.498308293779665, 1.387647, 3.728483, 1.234316, 0.2058351, 6.720161, 9.369973, 15.57229, 1.135083
4.598270700308102, 1.190362, 3.506526, 1.166419, 0.1911314, 6.401443, 13.23671, 16.27372, 1.021593
4.698233106836539, 1.021125, 3.297782, 1.102257, 0.1774781, 7.337858, 12.24775, 15.37887, 0.9194511
4.798195513364976, 0.8759488, 3.17496, 2.061084, 0.1648001, 6.989843, 11.33268, 15.18543, 0.8275212
4.898157919893413, 0.7514128, 2.985954, 1.947709, 0.1530277, 6.658335, 13.69291, 16.62662, 1.689316
4.998120326421851, 0.6445824, 2.8082, 1.84057, 0.1420963, 6.342547, 12.66987, 15.71236, 1.520412
5.098082732950287, 0.5529404, 2.641027, 1.739324, 0.1319457, 6.041739, 11.72326, 14.84838, 1.368396
5.198045139478724, 0.5646874, 3.722742, 1.643648, 0.1225203, 6.134534, 10.84738, 16.36915, 1.23158
5.298007546007161, 0.9537017, 3.501127, 1.553234, 0.1137681, 6.594552, 10.97477, 17.22548, 1.108442
5.397969952535599, 0.8181114, 3.292704, 2.306322, 0.1056412, 6.28179, 10.67513, 16.2783, 0.9976163
5.497932359064035, 0.7017983, 3.096689, 2.179457, 0.09809476, 5.983862, 14.06719, 18.47866, 0.8978713
5.597894765592472, 1.595853, 2.912343, 2.05957, 0.09108742, 5.700064, 21.88678, 22.62588, 0.808099
5.697857172120909, 6.453144, 2.738971, 1.946277, 0.08458066, 5.429726, 27.76803, 21.38173, 0.7273026
5.797819578649347, 10.84514, 2.575919, 1.839217, 0.07853869, 5.172209, 35.86229, 20.20601, 0.6545843
5.897781985177783, 9.303258, 2.422574, 2.480376, 0.07292834, 4.926905, 48.38141, 19.09493, 0.5891368
5.99774439170622, 7.980589, 2.278358, 2.343936, 0.06771875, 5.338286, 57.01962, 23.12341, 0.5302329
6.097706798234658, 6.845967, 2.142727, 2.215001, 0.06288131, 5.616149, 52.7595, 21.85191, 0.4772184
6.197669204763094, 5.872657, 2.01517, 2.093159, 0.05838943, 5.349791, 48.81767, 20.65033, 0.4295045
6.297631611291531, 5.037726, 1.895207, 1.978019, 0.05421842, 5.4269, 45.17034, 19.51482, 0.3865612
6.397594017819968, 4.321499, 1.782385, 1.869212, 0.05034536, 5.744339, 43.45222, 18.44175, 0.3479115
6.497556424348406, 3.7071, 1.676279, 1.766391, 0.04674898, 5.4719, 40.20576, 17.42768, 0.3131261
6.597518830876842, 3.180051, 1.925652, 1.669226, 0.0434095, 5.212383, 37.20186, 16.46938, 0.2818187
6.697481237405279, 2.816177, 1.811018, 1.577406, 0.04030857, 5.345047, 34.42239, 17.59131, 0.2536415
6.797443643933716, 2.415793, 1.703208, 1.490636, 0.03742915, 7.139584, 31.85058, 18.19996, 0.2282816
6.897406050462154, 2.715916, 1.601816, 1.408639, 0.03475543, 6.800973, 30.47924, 17.19919, 0.2054572
6.99736845699059, 2.329787, 1.506459, 1.331153, 0.0322727, 6.478422, 28.88235, 18.78622, 0.1849149
7.097330863519027, 2.048956, 1.41678, 1.25793, 0.02996732, 6.171168, 29.42745, 23.05886, 0.1664265
7.197293270047465, 2.262871, 1.332439, 1.188734, 0.02782663, 5.878486, 27.22883, 21.79091, 0.1497866
7.297255676575902, 1.941152, 1.253118, 1.123344, 0.02583885, 5.599686, 25.19448, 20.59268, 0.1348104
